household_head,children,married,hh_income
Female,0,Yes,52891.287586738625
Male,0,Yes,51811.8735543562
Female,0,Yes,1217.0393215111797
Female,0,Yes,65173.6700077101
Male,0,Yes,36937.54818812644
Female,0,Yes,14033.731688511949
Male,0,Yes,29685.235158057054
Female,0,Yes,54401.117964533536
Male,2,Yes,55319.96915959907
Male,0,Yes,4050.5011565150344
Male,0,Yes,83831.34155744025
Female,0,Yes,18109.868928296066
Male,1,Yes,18943.716268311488
Female,2,Yes,36835.00385505011
Female,1,Yes,54921.93523515805
Male,1,Yes,52621.43407864302
Male,2,Yes,33731.688511950655
Female,2,Yes,67476.86969930609
Female,0,Yes,68812.64456437933
Female,0,Yes,64764.841942945255
Male,2,Yes,14570.740169622204
Male,3,Yes,1349.2675404780261
Male,1,Yes,74266.38396299152
Female,1,Yes,67520.04626060138
Male,2,Yes,22264.263685427908
Male,0,Yes,103904.39475713183
Female,0,Yes,102555.12721665381
Male,0,Yes,2428.681572860447
Male,0,Yes,21995.759444872783
Female,1,Yes,55042.02004626059
Male,0,No,71374.9036237471
Male,1,Yes,92517.92598303777
Female,1,Yes,99534.1171935235
Female,1,Yes,59003.46954510408
Male,0,Yes,13087.895142636853
Male,0,Yes,11332.498072474942
Female,2,Yes,107860.4471858134
Male,2,Yes,52540.47802621434
Male,0,Yes,67463.37702390131
Female,0,Yes,70164.61063993831
Male,0,Yes,60723.785659213565
Female,0,Yes,123464.72629144178
Female,0,Yes,90963.56977640708
Male,0,Yes,155953.73939861218
Male,1,Yes,47224.363916730916
Female,1,Yes,45875.096376252885
Male,1,No,6746.33770239013
Female,0,Yes,174055.51272166538
Male,2,Yes,52756.36083269082
Female,1,Yes,27525.057825751734
Male,0,Yes,27828.643022359287
Male,0,Yes,102547.03161141094
Female,0,No,87702.39013107169
Male,0,No,82308.01850424055
Female,0,Yes,259734.00154202004
Male,1,Yes,62883.962991518885
Male,0,Yes,49990.362374710865
Female,0,Yes,77178.10331534309
Male,0,Yes,28936.391673091748
Male,0,Yes,51671.549730146486
Male,0,Yes,88165.18889745566
Male,0,Yes,53296.067848882034
Female,2,Yes,66923.6700077101
Male,2,Yes,60784.50269853508
Male,1,Yes,56770.43176561295
Female,1,Yes,76334.81110254432
Male,0,No,114215.49730146491
Male,2,Yes,40511.75790285273
Female,0,Yes,40478.02621434078
Male,0,Yes,67463.37702390131
Female,0,Yes,40478.02621434078
Male,0,Yes,93318.04163454124
Female,0,Yes,48573.63145720894
Female,0,Yes,47224.363916730916
Male,0,Yes,40478.02621434078
Male,0,Yes,18652.274479568234
Female,1,Yes,276614.6877409406
Male,1,Yes,170695.8365458751
Female,0,No,324122.3978411719
Female,0,Yes,35315.72860447186
Female,2,Yes,205706.6306861989
Male,2,Yes,97894.7571318427
Female,2,Yes,122178.87432536623
Male,1,Yes,102641.4803392444
Female,1,Yes,109433.69313801079
Male,0,Yes,90400.92521202775
Female,0,Yes,103893.600616808
Female,2,Yes,121660.75558982266
Male,2,Yes,91976.86969930609
Male,2,Yes,83135.11950655357
Female,2,Yes,122524.2868157286
Female,0,Yes,33124.51811873554
Male,0,Yes,98496.53045489591
Female,1,Yes,61148.80493446414
Female,2,Yes,49126.83114880493
Male,2,Yes,38602.54433307633
Female,2,Yes,161435.81341557438
Female,1,Yes,54084.0400925212
Male,1,Yes,135036.04471858134
Male,1,Yes,73819.77640709329
Female,0,Yes,148426.17579028526
Male,3,Yes,48624.90362374711
Female,3,Yes,85068.61989205859
Male,2,Yes,25502.505782575172
Female,0,No,43176.56129529684
Female,0,No,48573.63145720894
Female,1,Yes,60239.398612181954
Female,1,Yes,86521.78103315343
Female,1,Yes,22891.67309175019
Female,0,Yes,16192.559753276792
Male,0,Yes,44525.82883577486
Male,0,Yes,25111.218195836544
Male,2,Yes,32672.513492675404
Female,2,Yes,127256.16808018503
Male,1,Yes,49044.52582883577
Male,0,No,133021.58828064764
Male,0,Yes,12279.683885890516
Female,0,Yes,27167.501927525056
Female,0,Yes,56244.217424826515
Male,4,Yes,86411.14109483422
Female,2,Yes,68138.01079414031
Male,0,Yes,40521.20277563608
Female,0,Yes,40478.02621434078
Male,0,Yes,108076.32999228989
Female,0,Yes,123727.83346183499
Male,0,Yes,21109.29067077872
Female,0,Yes,109293.36931380107
Male,0,No,45170.77872012336
Female,2,Yes,72162.87586738628
Male,0,Yes,13492.67540478026
Female,0,Yes,134928.1033153431
Female,0,Yes,12885.50501156515
Female,1,Yes,386524.6723207401
Male,0,No,468114.88049344637
Male,0,Yes,67463.37702390131
Male,1,Yes,80281.41865844255
Female,1,Yes,114013.10717039321
Male,2,Yes,53970.70161912104
Male,0,Yes,19245.952197378563
Male,0,Yes,29683.885890516573
Female,0,Yes,131688.51195065535
Female,0,Yes,83229.56823438704
Female,0,Yes,111989.20585967616
Male,1,Yes,56129.529683885885
Female,1,Yes,53970.70161912104
Female,1,Yes,18377.023901310717
Male,2,Yes,96911.14109483422
Female,2,Yes,172470.12336160368
Male,0,Yes,48573.63145720894
Female,0,Yes,55322.66769468003
Male,0,Yes,72860.4471858134
Male,1,Yes,67895.14263685427
Male,0,No,82645.33538936006
Male,1,Yes,7665.188897455666
Male,0,Yes,99171.16422513493
Female,0,Yes,114824.0169622205
Male,3,Yes,79659.40632228219
Female,3,Yes,151167.8874325366
Female,2,Yes,120084.81110254432
Male,2,Yes,53970.70161912104
Female,2,Yes,124615.65150346953
Male,0,Yes,67463.37702390131
Female,2,Yes,67530.84040092521
Male,2,Yes,40492.868157286044
Male,0,Yes,51357.17039321511
Female,0,Yes,54055.70547417116
Female,0,Yes,45939.86121819583
Female,2,Yes,63634.15574402467
Male,2,Yes,69031.22590593678
Male,0,Yes,15805.319969159598
Male,1,Yes,24555.3199691596
Female,1,No,62749.03623747108
Female,1,Yes,32517.34772552043
Female,0,No,44660.755589822664
Female,0,Yes,89051.65767154972
Male,0,Yes,30427.332305319967
Male,0,Yes,11335.196607555898
Female,0,Yes,41433.307632999225
Male,0,Yes,60360.83269082497
Female,0,Yes,63167.30917501927
Female,0,Yes,44222.2436391673
Male,0,Yes,23477.255204317655
Male,0,No,38532.38242097147
Female,0,Yes,41827.29375481881
Female,3,Yes,40478.02621434078
Male,3,Yes,25636.083269082497
Female,1,No,12629.144178874325
Male,1,Yes,67463.37702390131
Female,1,Yes,107941.40323824208
Female,0,Yes,177563.60832690823
Male,1,Yes,53970.70161912104
Male,2,Yes,16191.210485736314
Female,0,Yes,67497.10871241326
Male,0,Yes,56028.33461835003
Female,4,No,37779.491133384734
Female,0,Yes,67576.71549730145
Male,0,Yes,121524.47956823438
Male,2,Yes,109331.14880493446
Female,2,Yes,75734.3870470316
Male,0,Yes,40612.952968388585
Female,0,Yes,59369.12104857363
Female,0,Yes,101323.24595219737
Male,0,Yes,113466.6538164996
Male,0,Yes,5397.070161912105
Male,5,Yes,2563.6083269082496
Male,0,Yes,29683.885890516573
Female,0,Yes,60756.16808018504
Male,2,Yes,55572.28218966846
Female,2,Yes,39920.77872012336
Male,0,Yes,67463.37702390131
Male,3,Yes,2698.5350809560523
Male,0,Yes,47921.93523515805
Female,0,Yes,107608.13415574402
Female,0,Yes,23072.474942174245
Female,1,Yes,121662.10485736314
Male,1,Yes,69108.13415574402
Female,0,Yes,32542.98380878951
Male,0,Yes,5446.993060909791
Female,0,Yes,1349.2675404780261
Male,2,Yes,6746.33770239013
Female,0,No,72980.53199691596
Male,3,Yes,28302.235929067076
Male,1,Yes,67352.7370855821
Female,1,Yes,133563.9938319198
Male,1,Yes,16865.844255975328
Female,1,Yes,80969.54510408634
Male,1,Yes,55333.46183500385
Male,2,Yes,44936.00616808018
Female,0,Yes,49922.89899768696
Male,3,Yes,53970.70161912104
Male,2,Yes,61285.08095605242
Female,2,Yes,88949.1133384734
Male,3,Yes,60309.56052428681
Female,3,Yes,236680.41634541246
Male,2,Yes,38869.69930609097
Female,2,Yes,129270.62451811873
Male,2,Yes,97147.26291441788
Female,2,Yes,117386.27602158827
Male,2,Yes,56669.2367000771
Female,2,Yes,70161.91210485736
Male,2,Yes,17108.71241326137
Female,2,Yes,237357.74865073245
Female,1,Yes,179452.58288357747
Male,1,Yes,134926.75404780262
Male,3,Yes,17605.242868157286
Female,0,Yes,39939.668465690054
Male,2,Yes,148419.42945258287
Female,2,Yes,174055.51272166538
Male,1,Yes,288744.60292983806
Female,1,Yes,205764.64919043946
Male,2,Yes,173768.11873554354
Female,2,Yes,37604.086353122584
Female,1,Yes,74251.54202004625
Male,1,Yes,45916.92367000771
Female,0,Yes,26985.35080956052
Female,1,Yes,139032.57517347723
Male,0,No,92721.66538164996
Male,2,Yes,33731.688511950655
Female,2,Yes,33731.688511950655
Male,0,No,47305.319969159595
Male,1,Yes,13290.285273708558
Female,1,Yes,36902.467232074014
Male,0,Yes,39923.477255204314
Female,0,Yes,90581.7270624518
Female,1,No,13303.777949113337
Male,0,Yes,54645.33538936006
Female,0,Yes,42097.14726291441
Male,2,Yes,33731.688511950655
Female,0,Yes,60717.039321511176
Male,4,Yes,33745.18118735543
Male,2,Yes,199016.96222050884
Female,4,No,34477.833461835
Male,0,No,175470.8943716268
Male,2,Yes,49255.011565150344
Female,2,Yes,107280.26214340786
Male,3,Yes,172984.1942945258
Male,1,Yes,11147.648419429452
Male,1,Yes,96366.0370084811
Female,1,Yes,103218.96684656899
Male,2,Yes,35287.39398612182
Female,2,Yes,60719.73785659213
Male,2,Yes,96486.12181958364
Male,0,Yes,73041.24903623747
Female,0,Yes,95169.23670007709
Female,2,Yes,62070.35466461063
Male,2,Yes,128184.46414803392
Female,1,Yes,78257.51734772552
Male,1,Yes,81630.68619892058
Female,1,No,78932.15111796453
Male,1,Yes,107233.03777949112
Female,0,No,132512.91441788743
Female,0,Yes,134493.63916730916
Male,0,Yes,48363.14572089437
Male,4,Yes,10794.14032382421
Male,0,Yes,13758.481110254432
Male,0,Yes,16191.210485736314
Female,0,Yes,13762.528912875867
Female,0,Yes,60717.039321511176
Male,0,Yes,123188.12644564378
Male,2,Yes,47228.41171935235
Female,2,Yes,112812.25905936776
Female,3,No,1888.9745566692366
Male,2,Yes,42960.678488820355
Male,0,Yes,49304.93446414803
Female,0,Yes,52722.62914417887
Male,0,Yes,62681.57286044718
Female,0,Yes,43400.539707016185
Male,4,Yes,49113.33847340015
Male,0,Yes,40612.952968388585
Female,0,Yes,72995.37393986121
Male,1,Yes,22937.548188126442
Female,1,Yes,163936.00616808017
Female,3,Yes,75558.98226676947
Male,3,Yes,41827.29375481881
Male,0,Yes,35648.99768696993
Female,0,Yes,47792.40555127216
Male,0,No,90307.82575173477
Female,2,Yes,90077.10100231302
Female,0,Yes,40478.02621434078
Male,0,Yes,19430.801850424054
Female,0,No,16351.773323053198
Male,0,Yes,45875.096376252885
Female,0,Yes,32522.74479568234
Female,0,Yes,33731.688511950655
Male,0,Yes,23311.295296838856
Female,0,Yes,49248.265227447955
Female,0,Yes,50597.53276792598
Male,0,Yes,85503.08404009251
Male,0,Yes,33734.38704703161
Female,0,Yes,43176.56129529684
Female,0,Yes,72861.79645335389
Male,2,Yes,53735.929067077865
Female,2,Yes,47224.363916730916
Female,0,Yes,2287.0084811102543
Female,3,Yes,66850.80956052429
Male,3,Yes,80281.41865844255
Female,0,Yes,71343.8704703161
Male,0,Yes,42935.04240555127
Female,1,Yes,33731.688511950655
Male,0,Yes,38116.808018504234
Female,0,Yes,93436.77717810331
Male,1,Yes,37779.491133384734
Male,0,No,74209.71472629144
Female,0,No,55141.86584425597
Male,1,Yes,14617.964533538934
Male,0,Yes,31046.64610639938
Female,0,Yes,22018.69699306091
Male,0,Yes,45822.474942174245
Female,0,No,53970.70161912104
Female,2,Yes,133172.70624518118
Male,0,No,190921.35697764068
Female,2,Yes,31142.44410177332
Male,0,Yes,41543.94757131842
Male,0,Yes,15651.503469545103
Male,1,Yes,40058.40400925212
Female,1,Yes,44038.743253662295
Female,2,Yes,47231.110254433304
Male,2,Yes,51278.91287586738
Male,3,Yes,67598.30377794911
Male,2,Yes,66114.10948342328
Female,2,Yes,40478.02621434078
Male,1,Yes,270528.14186584426
Female,1,Yes,202796.2606013878
Female,0,Yes,114431.3801079414
Male,0,Yes,303660.75558982266
Female,1,Yes,43176.56129529684
Male,1,Yes,43176.56129529684
Male,1,Yes,11301.464919043947
Male,1,Yes,33738.434849653044
Male,3,Yes,101195.06553585196
Female,3,Yes,78571.8966846569
Female,2,Yes,95907.28604471857
Male,2,Yes,53970.70161912104
Male,1,Yes,13829.992289899768
Male,1,Yes,60717.039321511176
Female,1,Yes,33733.03777949113
Female,0,Yes,25042.405551272164
Female,0,Yes,83790.8635312259
Male,0,Yes,47360.6399383192
Male,0,Yes,36835.00385505011
Female,0,Yes,97417.11642251349
Female,1,Yes,135756.55358519658
Male,1,Yes,68293.17656129529
Male,2,Yes,46927.52505782575
Female,2,Yes,86973.78565921356
Male,2,Yes,30824.016962220507
Male,0,Yes,4274.4795682343865
Male,0,Yes,140323.82420971472
Female,0,Yes,229780.26214340783
Female,0,Yes,87718.58134155744
Male,0,Yes,57154.973014649186
Female,4,Yes,271309.367771781
Male,0,No,348111.02544333076
Male,0,No,363059.56052428676
Female,1,Yes,32587.509637625288
Male,1,Yes,21588.28064764842
Female,0,Yes,27723.400154202
Male,0,Yes,20352.351580570547
Male,2,Yes,145720.8943716268
Male,0,Yes,95123.36160370085
Female,0,Yes,91885.11950655357
Female,0,Yes,101892.6368542791
Male,0,Yes,104591.17193523515
Male,1,Yes,8629.915188897456
Male,2,Yes,116256.93909020816
Female,2,Yes,136495.95219737856
Male,0,No,227494.60292983806
Female,2,Yes,223283.53893600614
Male,2,Yes,136930.4163454125
Male,0,No,47241.904394757126
Female,1,Yes,130367.57902852735
Female,0,Yes,107948.14957594448
Male,0,Yes,128180.41634541248
Female,0,Yes,145720.8943716268
Male,1,Yes,44282.96067848882
Male,4,Yes,87713.18427139553
Female,4,Yes,67466.07555898227
Female,0,Yes,156649.96144949883
Male,0,Yes,419757.1318427139
Male,2,Yes,1458.5582112567463
Female,4,No,44579.799537393985
Male,0,No,53970.70161912104
Female,0,Yes,78257.51734772552
Male,0,Yes,27120.277563608324
Female,0,Yes,81090.97918272937
Female,0,Yes,22132.03546646106
Male,0,Yes,36430.2235929067
Female,0,Yes,42542.40555127216
Male,0,Yes,137381.07170393213
Female,0,Yes,175160.56283731686
Male,1,Yes,103893.600616808
Female,1,Yes,70161.91210485736
Female,2,Yes,350841.9429452583
Male,2,Yes,241551.27216653814
Female,0,Yes,416149.1904394757
Male,0,Yes,359767.3477255204
Male,2,Yes,63550.50115651503
Female,2,Yes,218244.02467232072
Male,2,Yes,245229.37548188123
Female,2,Yes,45620.08481110254
Male,0,No,8098.303777949112
Male,3,Yes,69487.27833461834
Female,3,Yes,60042.40555127216
Male,4,Yes,5254.047802621433
Male,1,Yes,53970.70161912104
Male,1,Yes,207433.69313801077
Female,1,Yes,195019.08249807247
Female,0,No,132599.267540478
Female,1,Yes,104044.71858134156
Female,1,Yes,64797.22436391673
Female,1,Yes,63415.574402467224
Female,0,Yes,62071.70393215111
Male,0,Yes,101375.86738627602
Male,1,Yes,105045.87509637624
Male,1,Yes,45180.2235929067
Female,1,Yes,68117.77178103315
Female,0,Yes,86376.0601387818
Male,0,Yes,86376.0601387818
Female,3,No,100191.2104857363
Female,0,No,105213.18427139553
Male,0,No,99600.23130300693
Male,3,No,29683.885890516573
Male,0,No,63415.574402467224
Male,2,Yes,14707.016191210485
Male,0,No,48573.63145720894
Female,2,Yes,107941.40323824208
Male,2,Yes,26432.15111796453
Female,2,Yes,78718.966846569
Male,2,Yes,128641.86584425597
Male,2,Yes,89645.33538936006
Female,2,Yes,66134.34849653045
Male,0,No,60717.039321511176
Female,2,Yes,40478.02621434078
Male,2,Yes,20239.01310717039
Male,0,No,60717.039321511176
Male,0,No,87702.39013107169
Female,0,No,19429.452582883576
Male,1,Yes,80145.14263685427
Male,3,Yes,37779.491133384734
Male,2,Yes,32433.693138010793
Female,0,Yes,230724.74942174245
Male,0,Yes,217232.0740169622
Male,0,Yes,26989.398612181958
Male,0,Yes,1137.432536622976
Male,0,Yes,8905.165767154973
Female,0,Yes,53430.99460292984
Male,0,Yes,25636.083269082497
Male,1,Yes,16191.210485736314
Male,0,Yes,33731.688511950655
Female,0,Yes,53970.70161912104
Female,2,Yes,87444.68003084039
Female,0,No,133333.26908249807
Male,1,No,20239.01310717039
Female,0,No,87702.39013107169
Male,2,Yes,13492.67540478026
Female,2,Yes,67470.12336160369
Male,2,Yes,33733.03777949113
Female,3,Yes,53970.70161912104
Female,0,Yes,126864.8804934464
Male,0,Yes,52648.41942945258
Male,2,Yes,47688.51195065535
Female,2,Yes,101227.44795682342
Male,1,Yes,54787.00848111025
Male,0,Yes,32505.204317656127
Male,1,Yes,37509.63762528913
Male,0,Yes,49990.362374710865
Female,2,Yes,127677.13955281417
Female,0,No,158538.93600616808
Male,3,Yes,16304.548959136468
Male,0,Yes,14437.162683114879
Female,2,Yes,51272.166538164995
Male,2,Yes,47224.363916730916
Female,0,Yes,40692.559753276786
Female,1,Yes,60717.039321511176
Male,1,Yes,40478.02621434078
Female,0,Yes,112797.4171164225
Male,0,Yes,162720.31611410948
Female,2,Yes,35755.589822667695
Male,3,Yes,122311.10254433307
Female,0,No,144864.10948342326
Female,0,No,158734.57979953737
Male,2,Yes,85333.07632999228
Female,2,Yes,268713.37702390127
Male,1,Yes,53970.70161912104
Female,1,Yes,67691.40323824208
Male,0,Yes,29144.178874325364
Female,1,Yes,80956.05242868156
Male,0,Yes,11652.274479568234
Male,0,Yes,24555.3199691596
Male,1,Yes,11171.935235158056
Male,3,Yes,47898.997686969924
Male,1,Yes,2698.5350809560523
Male,2,Yes,16189.861218195836
Female,2,Yes,36473.400154202005
Female,1,Yes,17540.47802621434
Male,1,Yes,57262.91441788743
Male,2,Yes,5397.070161912105
Male,2,Yes,65457.01619121048
Female,2,Yes,89728.98997686969
Male,0,No,56684.07864302235
Female,2,Yes,40478.02621434078
Male,2,Yes,106188.70470316113
Female,2,Yes,152500.9637625289
Male,1,Yes,5575.173477255204
Male,2,Yes,58693.13801079414
