widegt_id,life_hrs
wewn-i827,5
cydi-x744,60
cswi-i142,101
arzf-l525,105
ynvb-f540,380
vwch-h387,168
vzlb-g337,17
uxym-o333,39
cftu-t678,12
egaj-h423,148
lxwe-f289,168
yzrh-r663,254
ceef-s742,58
vpbd-x479,3
ktea-b813,116
jzov-s623,13
shmj-e552,145
amat-z894,156
zsrn-r254,28
dpxm-s905,262
cgsv-z230,60
jchd-a126,53
dmgw-u521,15
uqix-n522,136
ywxp-l641,195
mjao-s548,28
bgpf-u580,53
gjbb-n572,25
cogh-q647,209
btsb-s390,167
ylep-j384,21
eiji-l511,254
orxe-a335,365
oumy-a914,238
qsim-i199,154
jilq-j322,285
dkcl-q317,24
owko-t965,213
fvvt-l472,132
ueqf-p785,175
bsmn-c551,384
iede-n222,39
zfwu-t401,121
sras-o793,220
skey-m197,358
wufz-i194,153
uvtj-g182,72
zcvv-z873,430
acxj-q318,89
ltfj-k410,163
zobd-h650,12
lkmv-c189,457
dtkl-u725,121
rolv-d773,5
uhyt-f952,106
wbcj-q260,10
rhre-m265,326
vwxi-k639,501
pycq-b372,429
gkft-d228,80
vdcf-r348,220
drfa-w109,210
gybx-u506,69
tvxj-b643,89
kpar-f904,346
rcql-c378,44
kzqj-q640,39
rvnk-s597,31
nzma-l660,99
trqk-l582,422
jscg-g911,628
trmn-j300,350
kwmq-w768,163
crsz-b759,63
ywkw-n656,204
basn-h513,117
gzhb-y662,446
ahri-m500,26
fgal-z829,38
spsk-v179,234
npje-f368,165
iuyn-z728,275
dayx-k497,221
spgw-y241,95
dkoz-b852,171
obaj-m607,70
cxxy-f678,57
odnv-f953,415
ucpd-a230,99
xrdh-y161,42
fbos-s349,290
pdib-a575,160
eiol-f343,198
abkq-t758,32
ycqu-n654,277
ijdk-t933,2
aezi-b972,32
paxu-a247,46
wkzo-p242,514
swor-c286,35
nlqa-v119,2
qtqg-t161,56
lwvg-k720,237
uijh-f749,82
ucyg-q855,282
upbk-f671,328
mgyu-n746,393
trkz-l178,784
tayg-v372,9
ryks-o315,101
upto-v909,207
ewtv-y307,165
jgoi-x764,184
uwpl-z808,150
rqnw-v890,77
btmj-f181,26
kxht-l422,555
gdpm-u895,178
rdpn-n538,38
wpxt-h915,147
cmra-i516,385
icyp-f667,312
lvuy-l434,294
dwum-d890,59
wusk-q301,203
xbje-m640,19
gngu-i653,30
dujm-t207,143
rexn-r821,166
sskq-x725,43
xntr-o113,27
ihkz-i773,211
liqe-j843,221
aeou-s402,317
xrmv-v187,152
efvb-m997,120
wfxj-k514,111
zxrm-l244,72
feau-f359,396
dyrz-j358,79
wntc-j367,120
rgvb-n947,627
htlo-b738,93
kosc-m593,119
bruj-w665,146
ykqh-y721,40
odfi-p532,204
awou-k439,73
ijvp-w952,146
ncdu-s354,308
ttld-e643,74
jeyp-z569,530
etfi-e861,237
vwek-a513,24
bzyy-e718,14
xgjd-q797,56
rpwa-k296,344
sxdx-j451,636
hwkh-e394,146
qikx-d249,140
qlkt-q878,4
psmt-q720,13
xllk-v908,5
doqt-z115,8
sadv-z939,34
elba-y760,158
xaoq-c536,65
jjhy-q478,53
fvgj-w239,98
wklg-g321,66
qpun-n711,4
ivqx-f273,71
vsej-e373,301
xwfc-g704,245
gvny-c407,248
dtfg-s193,40
utrh-n589,32
qias-x648,21
bjkk-m934,198
jzko-z586,86
rtye-q773,130
itqf-n326,200
ruml-e529,71
zlzc-w705,225
odym-b227,105
eyhh-w399,60
gfsz-c968,141
pgkw-e372,137
njlx-p560,59
afod-y168,110
fnwv-o434,258
tavn-b762,109
aomo-p156,40
fnuy-g891,287
atgl-h126,18
aiej-x196,283
iipz-g479,363
sgpk-z500,110
bmxa-w158,65
ycnz-t202,112
sjuh-i676,375
kexx-m687,3
kssr-q229,417
ctix-l828,125
vgpb-n101,21
cgiy-w898,81
ensr-a856,33
qixo-z961,375
ygpc-n926,143
bskn-g203,244
tloz-r838,152
zplw-y385,45
ywxi-f630,210
isdm-u369,298
juee-s890,141
thrp-p706,121
mkrw-x911,234
cbpa-o860,99
ynhm-k615,152
rwcu-q537,8
uqse-k712,18
nfdg-p287,137
aosv-j106,133
hmrt-s866,121
jwjq-b123,201
aauh-g839,11
fhfc-e738,67
suho-l934,111
wpje-h534,144
lzlu-d224,94
rkgb-z544,107
qlia-r171,78
ookj-v208,27
qxia-d205,237
kxsz-o338,135
dxra-d393,184
myad-x577,573
qpfn-a157,150
hwfn-e125,428
emjt-p861,60
ipmn-c500,254
pzkt-m308,109
oygu-h557,460
cetq-z572,106
tgpb-j150,471
xhih-a111,70
fapq-u844,135
vhgl-k138,425
zyim-j725,56
fsjt-d681,92
ykot-t355,154
vqvj-c873,67
dqhk-j803,473
kkpy-q897,149
ywkv-l470,131
vpun-t107,27
wqdg-i519,255
ustu-g881,47
enyy-w817,56
cnjl-c125,7
uczp-c583,312
uzmw-f784,146
hgdb-p175,100
ghwe-x278,398
xwre-o913,35
saex-q735,18
xmdw-t204,123
gpiz-k466,31
mtwp-h939,244
tdih-v819,128
mlug-z499,22
ouao-f574,143
neyt-k774,113
zfce-z236,38
bgkm-l316,41
mifr-k402,93
gwpv-i946,103
cujb-o899,198
dtux-u457,1
wkkj-t348,621
pguk-q183,198
vjuv-v899,301
ptiz-t807,20
jecd-y723,73
julo-s577,569
ovom-g925,51
imts-w309,28
udrs-k765,668
lmul-b849,274
hbhb-k642,171
phpv-d361,124
zdti-j558,140
sccf-o858,176
bqea-v946,73
ozdz-q144,318
fmce-e144,45
bwie-n769,19
iktg-n852,75
fqea-l676,153
zfbo-z630,340
edhk-a553,15
cdwn-x373,155
jpfr-h154,109
swki-e584,637
etre-l685,230
jhpu-a324,99
ifad-n258,435
krug-l561,91
hunf-x680,25
rist-a511,44
cdpt-n292,57
ivyl-c138,27
scnz-w238,42
svbp-t332,328
gglp-l963,398
vvul-q872,395
bqul-n225,245
vdjv-z609,46
fmdh-g353,203
tqyl-s266,65
wdax-h291,41
pghm-v101,259
xiju-j604,28
hwxu-t987,15
addn-h562,67
luhw-g330,77
bmoe-o731,41
pgfz-p885,232
qzcw-j748,129
apqp-k287,45
hrpu-t920,60
qrmg-b426,209
zcky-i998,519
osyb-a211,211
mnkh-i844,113
iqpk-m872,74
mxwz-n894,152
vkrv-i245,54
jita-w445,180
hezx-t239,49
cahh-p462,351
yqtq-r670,51
kedv-j597,88
rvlm-z303,133
arit-l982,140
gjqq-a113,128
zrxz-v507,146
dkyd-t853,42
rmco-u206,15
rnep-b678,64
yocl-x966,78
ulzz-d758,304
uglm-z747,224
wcpo-c869,307
vgpr-t125,94
arzu-w890,67
otbx-l382,173
ewzq-d565,114
wler-s535,173
snme-f775,207
irwm-z712,204
uujn-o161,70
chcv-p663,473
mzhs-t992,111
assg-e929,315
famb-q421,715
ljib-e910,339
saej-h431,158
wjjn-l843,324
aksa-n247,106
fbqb-v859,667
tnba-b240,540
