price,crime,nox,rooms,dist,radial,proptax,stratio,lowstat
24000,0.006,5.38,6.57,4.09,1,29.6,15.3,4.98
21599,0.027,4.69,6.42,4.97,2,24.2,17.8,9.14
34700,0.027,4.69,7.18,4.97,2,24.2,17.8,4.03
33400,0.032,4.58,7,6.06,3,22.2,18.7,2.94
36199,0.069,4.58,7.15,6.06,3,22.2,18.7,5.33
28701,0.03,4.58,6.43,6.06,3,22.2,18.7,5.21
22900,0.088,5.24,6.01,5.56,5,31.1,15.2,12.43
27100,0.145,5.24,6.17,5.95,5,31.1,15.2,19.15
16500,0.211,5.24,5.63,6.08,5,31.1,15.2,29.93
18900,0.17,5.24,6,6.59,5,31.1,15.2,17.1
15000,0.225,5.24,6.38,6.35,5,31.1,15.2,20.45
18900,0.117,5.24,6.01,6.23,5,31.1,15.2,13.27
21700,0.094,5.24,5.89,5.45,5,31.1,15.2,15.71
20400,0.63,5.38,5.95,4.71,4,30.7,21,8.26
18200,0.638,5.38,6.1,4.46,4,30.7,21,10.26
19900,0.627,5.38,5.83,4.5,4,30.7,21,8.47
23100,1.054,5.38,5.93,4.5,4,30.7,21,6.58
17500,0.784,5.38,5.99,4.26,4,30.7,21,14.67
20200,0.803,5.38,5.46,3.8,4,30.7,21,11.69
18200,0.726,5.38,5.73,3.8,4,30.7,21,11.28
13600,1.252,5.38,5.57,3.8,4,30.7,21,21.02
19600,0.852,5.38,5.96,4.01,4,30.7,21,13.83
15200,1.232,5.38,6.14,3.98,4,30.7,21,18.72
14500,0.988,5.38,5.81,4.1,4,30.7,21,19.88
15600,0.75,5.38,5.92,4.4,4,30.7,21,16.3
13900,0.841,5.38,5.6,4.45,4,30.7,21,16.51
16600,0.672,5.38,5.81,4.68,4,30.7,21,14.81
14800,0.956,5.38,6.05,4.45,4,30.7,21,17.28
18400,0.773,5.38,6.49,4.45,4,30.7,21,12.8
21000,1.002,5.38,6.67,4.23,4,30.7,21,11.98
12700,1.131,5.38,5.69,4.23,4,30.7,21,22.6
14500,1.355,5.38,6.07,4.17,4,30.7,21,13.04
13200,1.388,5.38,5.95,3.99,4,30.7,21,27.71
13100,1.152,5.38,5.7,3.79,4,30.7,21,18.35
13500,1.613,5.38,6.1,3.76,4,30.7,21,20.34
18900,0.064,4.99,5.93,3.36,5,27.9,19.2,9.68
20000,0.097,4.99,5.84,3.38,5,27.9,19.2,11.41
13668,0.08,4.99,5.85,3.93,5,27.9,19.2,8.77
24701,0.175,4.99,5.97,3.85,5,27.9,19.2,10.13
30801,0.028,4.28,6.59,5.4,3,25.2,18.3,4.32
34899,0.034,4.28,7.02,5.4,3,25.2,18.3,1.98
26601,0.127,4.48,6.77,5.72,3,23.3,17.9,4.84
25301,0.141,4.48,6.17,5.72,3,23.3,17.9,5.81
24701,0.159,4.48,6.21,5.72,3,23.3,17.9,7.44
21200,0.123,4.48,6.07,5.72,3,23.3,17.9,9.55
19300,0.171,4.48,5.68,5.1,3,23.3,17.9,10.21
20000,0.188,4.48,5.79,5.1,3,23.3,17.9,14.15
16600,0.229,4.48,6.03,5.69,3,23.3,17.9,18.8
14400,0.254,4.48,5.4,5.87,3,23.3,17.9,30.81
19400,0.22,4.48,5.6,6.09,3,23.3,17.9,16.2
19700,0.089,4.39,5.96,6.81,4,24.3,16.8,13.45
20500,0.043,4.39,6.11,6.81,4,24.3,16.8,9.43
22620,0.054,4.39,6.51,6.81,4,24.3,16.8,5.28
23400,0.05,4.39,6,6.81,4,24.3,21.1,8.43
18900,0.014,4.1,5.89,7.32,3,46.9,17.9,14.8
35401,0.013,4.03,7.25,8.7,5,22.6,17.3,4.81
24701,0.021,4.1,6.38,9.19,2,31.3,15.1,5.77
32562,0.014,4.11,6.82,8.32,5,25.6,19.7,3.95
23300,0.154,4.53,6.14,7.81,8,28.4,19.7,6.86
