mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
5,64,24,1.0,1.0,1.0,1.0,12,0,,0,1.0,0.0,,,,2.0,,576,1,12,0,0,0,1,0,0
1,56,32,1.0,1.0,1.0,1.0,13,3,25.0,3,1.0,1.0,11.0,80.0,24.0,3.0,12.0,1024,1,13,0,0,0,1,0,1
7,58,30,1.0,0.0,0.0,0.0,5,1,27.0,1,1.0,0.0,6.0,83.0,24.0,5.0,7.0,900,1,5,1,0,0,0,0,1
11,45,42,1.0,0.0,1.0,0.0,4,3,17.0,2,1.0,0.0,1.0,61.0,15.0,3.0,11.0,1764,1,4,0,0,0,0,0,1
5,45,43,1.0,1.0,1.0,1.0,11,2,24.0,2,1.0,1.0,3.0,66.0,20.0,2.0,14.0,1849,1,11,0,1,0,1,0,1
8,52,36,1.0,0.0,0.0,0.0,7,1,26.0,1,1.0,1.0,11.0,76.0,24.0,4.0,9.0,1296,1,7,0,0,0,0,0,1
7,51,37,1.0,1.0,1.0,1.0,16,4,20.0,4,1.0,1.0,5.0,78.0,26.0,4.0,17.0,1369,1,16,0,0,1,0,0,1
9,70,18,1.0,1.0,1.0,1.0,10,0,,0,1.0,1.0,,,,4.0,,324,1,10,0,0,1,0,0,0
12,53,34,0.0,1.0,0.0,0.0,5,1,19.0,1,1.0,1.0,7.0,72.0,18.0,4.0,3.0,1156,1,5,0,1,0,0,0,1
9,39,49,1.0,1.0,0.0,0.0,4,0,,0,1.0,0.0,11.0,61.0,22.0,4.0,1.0,2401,1,4,1,0,0,0,0,1
6,46,42,1.0,1.0,1.0,1.0,15,3,25.0,3,1.0,1.0,6.0,70.0,24.0,3.0,16.0,1764,1,15,0,0,0,1,0,1
10,59,29,1.0,1.0,0.0,0.0,7,3,23.0,3,1.0,1.0,1.0,84.0,24.0,6.0,7.0,841,1,7,1,0,0,0,0,1
12,42,45,1.0,1.0,0.0,0.0,0,4,18.0,2,1.0,0.0,1.0,66.0,23.0,6.0,,2025,1,0,1,0,0,0,1,1
2,40,48,1.0,1.0,0.0,0.0,4,10,19.0,8,1.0,1.0,10.0,66.0,26.0,4.0,3.0,2304,1,4,0,1,0,1,0,1
1,53,35,1.0,1.0,1.0,1.0,12,3,23.0,3,1.0,1.0,1.0,74.0,21.0,3.0,16.0,1225,1,12,0,1,0,1,0,1
6,62,26,1.0,1.0,0.0,0.0,7,0,,0,1.0,1.0,,,,4.0,,676,1,7,0,0,1,1,0,0
1,50,38,1.0,1.0,0.0,1.0,7,4,23.0,4,1.0,1.0,,,,5.0,,1444,1,7,0,1,0,1,0,0
8,41,47,1.0,1.0,0.0,0.0,5,2,17.0,2,1.0,0.0,,,,1.0,,2209,1,5,1,0,0,0,0,0
4,56,32,1.0,1.0,1.0,0.0,16,0,,0,1.0,1.0,12.0,81.0,25.0,2.0,16.0,1024,1,16,0,1,0,1,0,1
7,61,27,1.0,1.0,1.0,0.0,12,1,24.0,1,1.0,1.0,11.0,84.0,23.0,3.0,16.0,729,1,12,1,0,0,0,0,1
12,64,23,1.0,1.0,1.0,0.0,12,0,,0,1.0,1.0,1.0,83.0,18.0,2.0,12.0,529,1,12,0,1,0,0,0,1
3,49,39,1.0,1.0,1.0,1.0,11,4,28.0,4,1.0,0.0,4.0,72.0,23.0,4.0,16.0,1521,1,11,0,1,0,1,0,1
3,50,38,1.0,1.0,1.0,1.0,12,2,29.0,2,1.0,0.0,3.0,75.0,25.0,4.0,14.0,1444,1,12,0,0,0,1,0,1
7,49,39,1.0,1.0,0.0,1.0,6,4,18.0,4,1.0,0.0,11.0,67.0,18.0,4.0,10.0,1521,1,6,1,0,0,0,0,1
8,67,21,1.0,1.0,0.0,1.0,10,1,21.0,1,1.0,0.0,,,,1.0,,441,1,10,1,0,0,0,0,0
6,45,43,1.0,1.0,1.0,1.0,16,2,23.0,2,1.0,1.0,5.0,68.0,22.0,4.0,15.0,1849,1,16,0,1,0,1,0,1
1,47,41,1.0,1.0,1.0,1.0,13,6,19.0,6,1.0,1.0,3.0,65.0,18.0,6.0,15.0,1681,1,13,0,1,0,1,0,1
10,42,46,1.0,1.0,1.0,1.0,3,3,20.0,2,1.0,0.0,,,,4.0,,2116,1,3,0,1,0,0,0,0
9,63,25,0.0,0.0,0.0,0.0,10,1,20.0,1,1.0,1.0,,,,,,625,1,10,0,1,0,0,0,0
6,42,46,1.0,1.0,0.0,0.0,0,4,22.0,4,1.0,1.0,,,,4.0,,2116,1,0,0,0,0,1,1,0
9,39,49,1.0,1.0,1.0,1.0,12,3,27.0,3,1.0,1.0,1.0,61.0,21.0,3.0,15.0,2401,1,12,1,0,0,0,0,1
5,45,43,0.0,0.0,0.0,1.0,6,7,20.0,6,1.0,1.0,,,,,,1849,1,6,0,1,0,1,0,0
11,48,39,0.0,0.0,0.0,0.0,5,4,19.0,4,1.0,1.0,,,,4.0,,1521,1,5,0,1,0,0,0,0
11,48,39,0.0,0.0,0.0,0.0,5,4,19.0,4,1.0,1.0,,,,4.0,,1521,1,5,0,1,0,0,0,0
8,63,25,0.0,0.0,0.0,0.0,5,4,18.0,4,1.0,1.0,2.0,85.0,21.0,4.0,14.0,625,1,5,0,0,0,0,0,1
