sat,tothrs,colgpa,athlete,verbmath,hsize,hsrank,hsperc,female,white,black,hsizesq
920,43,2.04,1,.48387,.1,4,40,1,0,0,.0099999998
1170,18,4,0,.82813001,9.4,191,20.319149,0,1,0,88.360001
810,14,1.78,1,.88371998,1.19,42,35.294117,0,1,0,1.4161
940,40,2.4200001,0,.80769002,5.71,252,44.133099,0,1,0,32.604099
1180,18,2.6099999,0,.73528999,2.14,86,40.186916,0,1,0,4.5795999
980,114,3.03,0,.81480998,2.68,41,15.298508,1,1,0,7.1824002
880,78,1.84,0,.75999999,3.11,161,51.76849,0,0,0,9.6721001
980,55,3.05,0,.88462001,2.68,101,37.686565,0,1,0,7.1824002
1240,18,3,0,.69862998,3.67,161,43.869209,0,1,0,13.4689
1230,17,2,0,.86364001,.1,3,30,0,1,0,.0099999998
1140,78,2.98,0,.93220001,3.34,95,28.443113,1,1,0,11.1556
1150,43,2.9300001,0,.85483998,3.59,13,3.6211698,1,1,0,12.8881
1080,17,2,1,.80000001,3.18,31,9.7484274,0,1,0,10.1124
990,64,2.21,0,.67796999,1.92,51,26.5625,1,1,0,3.6863999
1000,45,3.3299999,0,.78570998,3.69,29,7.8590784,1,1,0,13.6161
1050,14,1.0700001,0,.77965999,2.66,134,50.375938,1,1,0,7.0756001
1160,41,2.29,0,.87097001,1.45,99,68.275864,1,1,0,2.1025
1190,13,3.1500001,0,1.125,1.76,74,42.045456,0,1,0,3.0976
1030,110,2.6500001,0,1.1020401,3.86,81,20.984455,1,1,0,14.8996
960,106,2.4100001,1,1,3.83,66,17.232376,0,1,0,14.6689
840,104,2.3900001,0,.64705998,1.07,7,6.5420561,0,1,0,1.1449
920,115,2.6400001,0,1,2.17,65,29.953917,1,1,0,4.7089
840,96,2.1800001,0,.86667001,2.34,141,60.256409,1,1,0,5.4755998
1000,50,2.8399999,0,.78570998,4.63,133,28.725702,0,1,0,21.436899
1150,100,2.8399999,0,.79688001,5.95,301,50.588234,1,1,0,35.4025
1040,112,2.9300001,0,.96226001,.91,30,32.967033,0,1,0,.82810003
970,17,2.29,0,.79629999,4.36,41,9.4036694,1,1,0,19.0096
1200,39,2.3800001,0,.90476,8.119999999999999,209,25.738916,1,1,0,65.934402
1090,118,3.9200001,0,.75805998,.6,2,3.3333333,1,1,0,.36000001
1340,46,2.23,0,.83561999,3.76,130,34.574467,0,1,0,14.1376
740,12,1.33,0,1.3125,5.32,390,73.308273,1,1,0,28.302401
880,85,2.8099999,0,.75999999,3.8,71,18.68421,0,1,0,14.44
820,42,2.0899999,1,.90697998,2.28,155,67.982452,0,1,0,5.1984
1060,43,2.25,0,.85965002,5.51,248,45.009075,0,1,0,30.3601
730,50,1.9,1,.78048998,4.82,273,56.639004,0,0,1,23.232401
820,16,3,0,.86364001,3.9,102,26.153847,1,1,0,15.21
780,71,2.4000001,1,.69564998,.78,17,21.794872,0,1,0,.60839999
1040,78,2.1600001,0,1.03922,4.92,92,18.699186,0,1,0,24.2064
870,13,2.0699999,0,1.175,1.86,86,46.236561,1,1,0,3.4596
940,19,2.21,0,1.29268,1.85,41,22.162163,0,1,0,3.4224999
980,47,2,1,.92157,1.52,45,29.605263,0,0,1,2.3104
1020,103,2.9100001,0,.96153998,.1,2,20,1,1,0,.0099999998
1180,105,3,1,.87301999,6.37,255,40.031399,0,1,0,40.5769
1100,72,2.72,0,1.11538,.12,2,16.666666,0,1,0,.0144
1030,18,3.55,0,1.1020401,2.52,27,10.714286,0,1,0,6.3504
960,16,3.25,0,1.04255,.1,5,50,1,1,0,.0099999998
910,15,2.8599999,0,1.45946,1.27,28,22.047245,0,1,0,1.6129
1060,42,2.04,0,.96296,.13,1,7.6923075,0,1,0,.016899999
880,14,1.92,0,1.3783799,.03,1,33.333332,1,1,0,.00089999998
1010,17,3.5799999,0,.94230998,.28,2,7.1428571,1,1,0,.078400001
700,38,2.3900001,1,1,.32,22,68.75,0,1,0,.1024
930,15,3.46,0,.86000001,3.72,67,18.010754,1,1,0,13.8384
900,18,3.1600001,0,.91488999,2.54,69,27.165354,0,1,0,6.4516001
1090,29,1.03,0,.91228002,2.02,121,59.90099,0,1,0,4.0804
1120,79,3,0,1.24,4.7,78,16.595745,1,0,0,22.09
960,15,2.3299999,1,.77778,4.47,320,71.588364,0,0,1,19.9809
890,37,2.45,1,.77999997,1.24,50,40.322582,0,1,0,1.5376
1240,47,3.6500001,0,.79710001,5.37,31,5.7728119,0,1,0,28.836901
1090,113,3.6099999,0,.84745997,3.64,50,13.736263,1,1,0,13.2496
820,47,3.25,0,1.10256,6.34,68,10.725552,1,1,0,40.195599
940,16,3.8099999,0,.77358001,3.42,53,15.497076,0,1,0,11.6964
820,40,2.25,1,1.10256,5.71,344,60.245182,0,0,0,32.604099
970,39,2.4100001,1,.67241001,5.66,83,14.664311,0,1,0,32.035599
790,17,2.8199999,1,1.07895,5.97,72,12.060302,0,1,0,35.6409
1080,13,2.3,0,1.11765,.1,7,70,1,1,0,.0099999998
850,48,3.27,0,.80851001,3.1,54,17.419355,1,1,0,9.6099997
850,15,2.6600001,1,.80851001,.73,5,6.8493152,1,1,0,.53289998
820,95,2.26,1,.70832998,1.31,98,74.809158,0,1,0,1.7161
1120,12,2.3299999,1,.67163998,4.88,20,4.0983605,0,1,0,23.8144
880,43,2.3699999,1,1.09524,4.07,70,17.199017,1,1,0,16.564899
1540,85,4,0,.97435999,2.3,1,.43478259,0,1,0,5.29
780,86,3.8099999,0,1,3.47,38,10.951009,0,1,0,12.0409
1280,55,3.8699999,0,1.03175,2.03,3,1.4778326,1,1,0,4.1209002
1260,13,4,0,.75,2.17,5,2.3041475,1,1,0,4.7089
830,83,1.95,1,.84443998,2,84,42,0,0,1,4
980,16,2.4300001,0,.68966001,.92,28,30.434782,0,1,0,.84640002
500,14,1.21,1,1.27273,4.57,329,71.991249,0,1,0,20.884899
1040,15,3,0,.96226001,3.61,31,8.5872574,0,1,0,13.0321
930,12,1.75,0,.82353002,3.25,26,8,1,0,0,10.5625
570,79,1.73,1,.96552002,3.24,187,57.716049,0,0,1,10.4976
820,13,1.84,0,.82222003,3.03,147,48.514851,1,1,0,9.1808996
1310,16,2.25,0,.95521998,4.67,122,26.124197,0,1,0,21.808901
770,15,2.1300001,0,.79070002,1,30,30,1,0,0,1
1180,18,3.77,0,.87301999,4.8,48,10,0,1,0,23.040001
1310,53,3.22,0,.92646998,3.2,30,9.375,0,1,0,10.24
1150,63,2.1700001,0,1.12963,3.02,64,21.192053,0,1,0,9.1204004
1130,113,2.77,0,.91525,1.66,33,19.879519,0,0,0,2.7556
1110,122,3.3599999,0,1.09434,2.04,9,4.4117646,1,1,0,4.1616001
1210,16,3.6199999,0,1.01667,2.93,14,4.7781572,0,1,0,8.5848999
1090,20,3.7,0,1.01852,1.87,6,3.2085562,1,1,0,3.4969001
1040,54,2,0,.82455999,3.55,82,23.098591,1,1,0,12.6025
1340,81,3.6900001,0,1.0303,1.11,15,13.513514,1,1,0,1.2321
900,76,1.75,0,.91488999,.86,16,18.60465,0,1,0,.7396
650,52,2.1900001,1,.80555999,2.06,57,27.669903,0,1,0,4.2435999
1190,77,3.4000001,0,.67606002,4.24,26,6.1320753,1,1,0,17.9776
990,16,1.4299999,0,.73684001,2.51,39,15.537848,1,1,0,6.3000998
1160,50,2.78,0,.73133999,3.72,79,21.236559,1,1,0,13.8384
1140,71,2.6099999,1,.58332998,2.41,24,9.9585066,0,1,0,5.8081002
1180,87,3.0899999,1,1.18519,4.69,36,7.6759062,0,1,0,21.996099
1120,49,2.8299999,0,.83607,.1,1,10,1,1,0,.0099999998
1010,15,1.9299999,0,.77192998,3.19,157,49.216301,1,1,0,10.1761
1160,113,2.8800001,0,.96609998,4.02,15,3.7313433,0,1,0,16.1604
1200,16,3.3099999,0,1.10526,4.32,209,48.379631,1,1,0,18.662399
720,16,1.9299999,1,.94594997,4.3,230,53.488373,1,0,0,18.49
