term,year,exam1,exam2
Fall,2012,0.4,0.76
Fall,2012,0.6,0.84
Fall,2012,0.4,0.12
Fall,2012,0.15,0.53
Fall,2012,0.35,0.59
Fall,2012,0.45,0.73
Fall,2012,0.7,0.8
Fall,2012,0.9,0.78
Fall,2012,0.15,0.63
Fall,2012,0.5,0.8
Fall,2012,0.4,0.29
Fall,2012,0.85,0.9
Fall,2012,0.45,0.77
Fall,2012,0.45,0.78
Fall,2012,0.46,0.61
Fall,2012,0.8,0.73
Fall,2012,0.2,0.72
Fall,2012,0.3,0.68
Fall,2013,0.45,0.86
Fall,2013,0.45,0.29
Fall,2013,0.35,0.72
Fall,2013,0.7,0.97
Fall,2013,0.6,0.89
Fall,2013,0.7,0.93
Fall,2013,0.3,0.72
Fall,2013,0.65,0.8
Fall,2013,0.7,0.9
Fall,2013,0.55,0.83
Fall,2013,0.25,0.72
Fall,2013,0.3,0.73
Fall,2013,0.55,0.82
Fall,2013,0.45,0.79
Fall,2013,0.6,0.8
Fall,2013,0.15,0.6
Fall,2013,0.6,0.88
Fall,2013,0.4,0.81
Fall,2013,0.05,0.16
Fall,2013,0.8,1.0
Fall,2013,0.7,0.92
Fall,2013,0.35,0.81
Fall,2013,0.6,0.88
Fall,2013,0.55,0.77
Fall,2013,0.35,0.77
Fall,2013,0.4,0.73
Fall,2013,0.75,0.92
Fall,2013,0.45,0.25
Fall,2013,0.2,0.76
Fall,2013,0.8,0.86
Fall,2013,0.5,0.89
Fall,2013,0.5,0.82
Fall,2013,0.6,0.9
Fall,2013,0.5,0.83
Fall,2013,0.75,0.99
Fall,2013,0.05,0.12
Fall,2013,0.55,0.83
Fall,2013,0.8,0.96
Fall,2013,0.55,0.8
Spring,2013,0.7,0.88
Spring,2013,0.7,0.9
Spring,2013,0.65,0.89
Spring,2013,0.64,0.79
Spring,2013,0.49,0.69
Spring,2013,0.77,0.86
Spring,2013,0.84,0.88
Spring,2013,0.79,0.29
Spring,2013,0.59,0.85
Spring,2013,0.9,0.94
Spring,2013,0.74,0.89
Spring,2013,0.74,0.91
Spring,2013,0.95,0.94
Spring,2013,0.65,0.85
Spring,2013,0.64,0.87
Spring,2013,0.59,0.72
Spring,2013,0.85,0.87
Spring,2013,0.48,0.62
Spring,2013,0.9,0.94
Spring,2013,0.65,0.83
Spring,2013,0.75,0.89
Spring,2013,0.6,0.86
Spring,2013,0.9,0.94
Spring,2013,0.54,0.62
Spring,2013,0.75,0.86
Spring,2013,0.55,0.86
Spring,2013,0.4,0.75
Spring,2013,0.65,0.75
Spring,2013,0.93,0.93
Spring,2013,0.85,0.91
Spring,2013,0.8,0.94
Spring,2013,0.6,0.88
Spring,2013,1.0,0.98
Spring,2013,0.8,0.92
Spring,2013,1.0,1.0
Fall,2014,0.36,0.4
Fall,2014,0.37,0.5
Fall,2014,0.83,0.7
Fall,2014,0.66,0.9
Fall,2014,0.68,0.35
Fall,2014,0.73,0.55
Fall,2014,0.63,0.4
Fall,2014,0.1,0.45
Fall,2014,0.81,0.73
Fall,2014,0.75,0.9
Fall,2014,0.76,0.9
