make,model,price,mpg,rep77,rep78,headroom,rear_seat,trunk_space,weight,length,turn_circle,displacement,gear_ratio,foreign
AMC,Concord,4099,22,2,3,2.5,27.5,11,2930,186,40,121,3.58,domestic
AMC,Pacer,4749,17,1,3,3.0,25.5,11,3350,173,40,258,2.53,domestic
AMC,Spirit,3799,22,,,3.0,18.5,12,2640,168,35,121,3.08,domestic
Audi,5000,9690,17,2,5,3.0,27.0,15,2830,189,37,131,3.2,foreign
Audi,Fox,6295,23,3,3,2.5,28.0,11,2070,174,36,97,3.7,foreign
BMW,320i,9735,25,4,4,2.5,26.0,12,2650,177,34,121,3.64,foreign
Buick,Century,4816,20,3,3,4.5,29.0,16,3250,196,40,196,2.93,domestic
Buick,Electra,7827,15,4,4,4.0,31.5,20,4080,222,43,350,2.41,domestic
Buick,Le Sabre,5788,18,4,3,4.0,30.5,21,3670,218,43,231,2.73,domestic
Buick,Opel,4453,26,,,3.0,24.0,10,2230,170,34,304,2.87,domestic
Buick,Regal,5189,20,3,3,2.0,28.5,16,3280,200,42,196,2.93,domestic
Buick,Riviera,10372,16,4,3,3.5,30.0,17,3880,207,43,231,2.93,domestic
Buick,Skylark,4082,19,3,3,3.5,27.0,13,3400,200,42,231,3.08,domestic
Cadillac,Deville,11385,14,3,3,4.0,31.5,20,4330,221,44,425,2.28,domestic
Cadillac,Eldorado,14500,14,2,2,3.5,30.0,16,3900,204,43,350,2.19,domestic
Cadillac,Seville,15906,21,3,3,3.0,30.0,13,4290,204,45,350,2.24,domestic
Chevrolet,Chevette,3299,29,3,3,2.5,26.0,9,2110,163,34,231,2.93,domestic
Chevrolet,Impala,5705,16,4,4,4.0,29.5,20,3690,212,43,250,2.56,domestic
Chevrolet,Malibu,4504,22,3,3,3.5,28.5,17,3180,193,41,200,2.73,domestic
Chevrolet,Monte Carlo,5104,22,3,2,2.0,28.5,16,3220,200,41,200,2.73,domestic
Chevrolet,Monza,3667,24,2,2,2.0,25.0,7,2750,179,40,151,2.73,domestic
Chevrolet,Nova,3955,19,3,3,3.5,27.0,13,3430,197,43,250,2.56,domestic
Datsun,200-SX,6229,23,3,4,1.5,21.0,6,2370,170,35,119,3.89,foreign
Datsun,210,4589,35,5,5,2.0,23.5,8,2020,165,32,85,3.7,foreign
Datsun,510,5079,24,4,4,2.5,22.0,8,2280,170,34,119,3.54,foreign
Datsun,810,8129,21,4,4,2.5,27.0,8,2750,184,38,146,3.55,foreign
Dodge,Colt,3984,30,4,5,2.0,24.0,8,2120,163,35,98,3.54,domestic
Dodge,Diplomat,5010,18,2,2,4.0,29.0,17,3600,206,46,318,2.47,domestic
Dodge,Magnum XE,5886,16,2,2,3.5,26.0,16,3870,216,48,318,2.71,domestic
Dodge,St.Regis,6342,17,2,2,4.5,28.0,21,3740,220,46,225,2.94,domestic
Fiat,Strada,4296,21,1,3,2.5,26.5,16,2130,161,36,105,3.37,foreign
Ford,Fiesta,4389,28,,4,1.5,26.0,9,1800,147,33,98,3.15,domestic
Ford,Mustang,4187,21,3,3,2.0,23.0,10,2650,179,42,140,3.08,domestic
Honda,Accord,5799,25,5,5,3.0,25.5,10,2240,172,36,107,3.05,foreign
Honda,Civic,4499,28,4,4,2.5,23.5,5,1760,149,34,91,3.3,foreign
Lincoln,Continental,11497,12,4,3,3.5,30.5,22,4840,233,51,400,2.47,domestic
Lincoln,Continental Mark V,13594,12,4,3,2.5,28.5,18,4720,230,48,400,2.47,domestic
Lincoln,Versailles,13466,14,3,3,3.5,27.0,15,3830,201,41,302,2.47,domestic
Mazda,GLC,3995,30,4,4,3.5,25.5,11,1980,154,33,86,3.73,foreign
Mercury,Bobcat,3829,22,3,4,3.0,25.5,9,2580,169,39,140,2.73,domestic
Mercury,Cougar,5379,14,3,4,3.5,29.5,16,4060,221,48,302,2.75,domestic
Mercury,Cougar XR-7,6303,14,4,4,3.0,25.0,16,4130,217,45,302,2.75,domestic
Mercury,Marquis,6165,15,2,3,3.5,30.5,23,3720,212,44,302,2.26,domestic
