Input A: X+57, Y+16
Input B: X+20, Y+74
Output: X=3288, Y=1772

Input A: X+60, Y+17
Input B: X+18, Y+40
Output: X=12452, Y=2246

Input A: X+53, Y+30
Input B: X+12, Y+48
Output: X=10554, Y=7484

Input A: X+94, Y+41
Input B: X+16, Y+34
Output: X=5960, Y=3140

Input A: X+51, Y+15
Input B: X+16, Y+53
Output: X=15646, Y=8526

Input A: X+15, Y+44
Input B: X+55, Y+34
Output: X=14665, Y=15766

Input A: X+61, Y+16
Input B: X+17, Y+39
Output: X=15223, Y=18028

Input A: X+39, Y+24
Input B: X+13, Y+42
Output: X=17748, Y=10592

Input A: X+61, Y+26
Input B: X+28, Y+69
Output: X=15037, Y=4719

Input A: X+14, Y+59
Input B: X+55, Y+19
Output: X=15659, Y=19538

Input A: X+58, Y+20
Input B: X+16, Y+37
Output: X=6210, Y=4660

Input A: X+24, Y+46
Input B: X+49, Y+16
Output: X=3921, Y=4284

Input A: X+83, Y+62
Input B: X+31, Y+88
Output: X=9119, Y=12518

Input A: X+83, Y+44
Input B: X+31, Y+54
Output: X=5857, Y=4570

Input A: X+46, Y+32
Input B: X+32, Y+96
Output: X=5332, Y=6880

Input A: X+55, Y+28
Input B: X+30, Y+50
Output: X=9175, Y=12224

Input A: X+62, Y+35
Input B: X+11, Y+34
Output: X=19628, Y=9357

Input A: X+37, Y+55
Input B: X+50, Y+11
Output: X=6401, Y=4829

Input A: X+45, Y+77
Input B: X+36, Y+12
Output: X=9323, Y=14923

Input A: X+31, Y+89
Input B: X+92, Y+26
Output: X=8931, Y=4209

Input A: X+24, Y+45
Input B: X+57, Y+32
Output: X=10244, Y=13383

Input A: X+33, Y+23
Input B: X+34, Y+84
Output: X=3431, Y=4321

Input A: X+54, Y+20
Input B: X+23, Y+47
Output: X=13618, Y=11332

Input A: X+48, Y+21
Input B: X+18, Y+55
Output: X=2684, Y=15337

Input A: X+72, Y+31
Input B: X+17, Y+30
Output: X=6191, Y=3913

Input A: X+31, Y+53
Input B: X+58, Y+31
Output: X=5857, Y=17657

Input A: X+37, Y+94
Input B: X+76, Y+58
Output: X=6250, Y=8584

Input A: X+54, Y+18
Input B: X+27, Y+67
Output: X=18890, Y=13858

Input A: X+47, Y+95
Input B: X+98, Y+33
Output: X=4349, Y=5819

Input A: X+56, Y+28
Input B: X+27, Y+94
Output: X=6057, Y=9066

Input A: X+21, Y+59
Input B: X+86, Y+32
Output: X=2417, Y=2179

Input A: X+67, Y+96
Input B: X+55, Y+16
Output: X=2626, Y=1376

Input A: X+72, Y+13
Input B: X+17, Y+78
Output: X=15058, Y=14927

Input A: X+43, Y+39
Input B: X+16, Y+95
Output: X=4648, Y=12023

Input A: X+36, Y+13
Input B: X+23, Y+36
Output: X=9934, Y=8941

Input A: X+55, Y+14
Input B: X+18, Y+70
Output: X=5711, Y=1306

Input A: X+85, Y+31
Input B: X+44, Y+73
Output: X=9481, Y=6818

Input A: X+71, Y+37
Input B: X+15, Y+53
Output: X=13491, Y=15729

Input A: X+21, Y+66
Input B: X+31, Y+11
Output: X=2836, Y=1826

Input A: X+27, Y+53
Input B: X+60, Y+24
Output: X=10451, Y=225

Input A: X+44, Y+31
Input B: X+13, Y+32
Output: X=18546, Y=19534

Input A: X+16, Y+48
Input B: X+44, Y+38
Output: X=1220, Y=2250

Input A: X+17, Y+57
Input B: X+78, Y+66
Output: X=7040, Y=8940

Input A: X+13, Y+38
Input B: X+30, Y+19
Output: X=4083, Y=9658

Input A: X+11, Y+29
Input B: X+78, Y+44
Output: X=19500, Y=4346

Input A: X+14, Y+90
Input B: X+88, Y+16
Output: X=4654, Y=4082

Input A: X+84, Y+19
Input B: X+18, Y+86
Output: X=2748, Y=8159

Input A: X+17, Y+57
Input B: X+68, Y+13
Output: X=992, Y=6337

Input A: X+72, Y+35
Input B: X+13, Y+47
Output: X=7519, Y=3887

Input A: X+95, Y+11
Input B: X+19, Y+41
Output: X=6042, Y=2756

Input A: X+21, Y+37
Input B: X+53, Y+31
Output: X=10165, Y=5755

Input A: X+22, Y+52
Input B: X+79, Y+40
Output: X=2887, Y=4036

Input A: X+17, Y+38
Input B: X+73, Y+42
Output: X=14580, Y=15240

Input A: X+46, Y+84
Input B: X+67, Y+32
Output: X=4317, Y=2372

Input A: X+37, Y+13
Input B: X+21, Y+55
Output: X=3836, Y=2182

Input A: X+32, Y+95
Input B: X+65, Y+12
Output: X=1190, Y=2447

Input A: X+67, Y+67
Input B: X+16, Y+73
Output: X=4877, Y=7214

Input A: X+11, Y+57
Input B: X+77, Y+37
Output: X=1782, Y=5252

Input A: X+77, Y+33
Input B: X+11, Y+59
Output: X=2806, Y=9794

Input A: X+88, Y+37
Input B: X+40, Y+88
Output: X=6344, Y=5657

Input A: X+45, Y+86
Input B: X+85, Y+49
Output: X=9780, Y=10863

Input A: X+94, Y+54
Input B: X+21, Y+52
Output: X=8715, Y=6564

Input A: X+22, Y+23
Input B: X+16, Y+70
Output: X=3002, Y=6761

Input A: X+17, Y+65
Input B: X+54, Y+22
Output: X=12400, Y=1072

Input A: X+46, Y+91
Input B: X+77, Y+16
Output: X=3795, Y=4372

Input A: X+84, Y+21
Input B: X+32, Y+45
Output: X=5148, Y=2286

Input A: X+38, Y+17
Input B: X+28, Y+61
Output: X=3498, Y=18774

Input A: X+56, Y+93
Input B: X+82, Y+24
Output: X=1422, Y=2025

Input A: X+69, Y+48
Input B: X+11, Y+99
Output: X=3505, Y=9198

Input A: X+85, Y+30
Input B: X+52, Y+80
Output: X=12113, Y=10070

Input A: X+17, Y+74
Input B: X+74, Y+13
Output: X=1862, Y=16659

Input A: X+59, Y+83
Input B: X+52, Y+17
Output: X=2259, Y=2841

Input A: X+12, Y+39
Input B: X+74, Y+31
Output: X=8948, Y=7103

Input A: X+63, Y+15
Input B: X+11, Y+54
Output: X=14625, Y=1670

Input A: X+43, Y+11
Input B: X+16, Y+29
Output: X=3189, Y=2083

Input A: X+11, Y+50
Input B: X+68, Y+26
Output: X=3360, Y=10800

Input A: X+36, Y+99
Input B: X+49, Y+23
Output: X=2107, Y=5012

Input A: X+52, Y+36
Input B: X+11, Y+55
Output: X=3816, Y=5864

Input A: X+29, Y+54
Input B: X+48, Y+18
Output: X=3194, Y=3014

Input A: X+38, Y+16
Input B: X+23, Y+44
Output: X=15107, Y=6748

Input A: X+21, Y+43
Input B: X+63, Y+31
Output: X=4032, Y=3258

Input A: X+30, Y+73
Input B: X+77, Y+41
Output: X=1935, Y=2513

Input A: X+31, Y+97
Input B: X+41, Y+24
Output: X=4929, Y=8957

Input A: X+31, Y+52
Input B: X+92, Y+45
Output: X=7914, Y=4092

Input A: X+41, Y+23
Input B: X+30, Y+59
Output: X=594, Y=1645

Input A: X+79, Y+36
Input B: X+15, Y+74
Output: X=6373, Y=7740

Input A: X+69, Y+14
Input B: X+19, Y+76
Output: X=7888, Y=14756

Input A: X+41, Y+22
Input B: X+28, Y+51
Output: X=3423, Y=8491

Input A: X+14, Y+32
Input B: X+94, Y+25
Output: X=7496, Y=4793

Input A: X+14, Y+45
Input B: X+82, Y+52
Output: X=2262, Y=15016

Input A: X+38, Y+39
Input B: X+53, Y+13
Output: X=6695, Y=3601

Input A: X+48, Y+20
Input B: X+32, Y+61
Output: X=4448, Y=16219

Input A: X+16, Y+38
Input B: X+70, Y+36
Output: X=8560, Y=6000

Input A: X+80, Y+13
Input B: X+16, Y+75
Output: X=7952, Y=3971

Input A: X+16, Y+43
Input B: X+30, Y+12
Output: X=9258, Y=12615

Input A: X+61, Y+71
Input B: X+15, Y+86
Output: X=4115, Y=9656

Input A: X+20, Y+41
Input B: X+56, Y+20
Output: X=4480, Y=13060

Input A: X+42, Y+87
Input B: X+53, Y+36
Output: X=4581, Y=4398

Input A: X+39, Y+17
Input B: X+45, Y+86
Output: X=7437, Y=9150

Input A: X+91, Y+29
Input B: X+44, Y+80
Output: X=11469, Y=9527

Input A: X+12, Y+65
Input B: X+78, Y+12
Output: X=16640, Y=16274

Input A: X+19, Y+65
Input B: X+61, Y+19
Output: X=12120, Y=756

Input A: X+98, Y+40
Input B: X+64, Y+98
Output: X=10122, Y=6144

Input A: X+32, Y+89
Input B: X+38, Y+20
Output: X=3456, Y=6870

Input A: X+60, Y+19
Input B: X+22, Y+58
Output: X=1360, Y=10182

Input A: X+14, Y+83
Input B: X+92, Y+62
Output: X=6170, Y=8057

Input A: X+88, Y+25
Input B: X+53, Y+82
Output: X=8170, Y=3526

Input A: X+27, Y+73
Input B: X+63, Y+11
Output: X=17603, Y=5163

Input A: X+53, Y+27
Input B: X+33, Y+62
Output: X=7611, Y=3599

Input A: X+20, Y+47
Input B: X+54, Y+20
Output: X=4468, Y=13566

Input A: X+71, Y+22
Input B: X+11, Y+52
Output: X=10021, Y=372

Input A: X+91, Y+37
Input B: X+29, Y+78
Output: X=9603, Y=7546

Input A: X+75, Y+18
Input B: X+33, Y+94
Output: X=8388, Y=7264

Input A: X+21, Y+96
Input B: X+88, Y+39
Output: X=1808, Y=4269

Input A: X+13, Y+39
Input B: X+48, Y+28
Output: X=10721, Y=6695

Input A: X+55, Y+86
Input B: X+96, Y+39
Output: X=9429, Y=7077

Input A: X+19, Y+50
Input B: X+75, Y+46
Output: X=18244, Y=17920

Input A: X+52, Y+13
Input B: X+81, Y+81
Output: X=4892, Y=3410

Input A: X+17, Y+95
Input B: X+54, Y+61
Output: X=4990, Y=10791

Input A: X+28, Y+62
Input B: X+90, Y+21
Output: X=7450, Y=5621

Input A: X+56, Y+19
Input B: X+16, Y+38
Output: X=11832, Y=6295

Input A: X+11, Y+50
Input B: X+79, Y+43
Output: X=19472, Y=18896

Input A: X+13, Y+21
Input B: X+58, Y+23
Output: X=4216, Y=2781

Input A: X+49, Y+17
Input B: X+13, Y+28
Output: X=3018, Y=2339

Input A: X+47, Y+98
Input B: X+19, Y+11
Output: X=5321, Y=8319

Input A: X+45, Y+19
Input B: X+18, Y+33
Output: X=11240, Y=12893

Input A: X+16, Y+60
Input B: X+70, Y+52
Output: X=6558, Y=6700

Input A: X+59, Y+88
Input B: X+85, Y+31
Output: X=12375, Y=9167

Input A: X+79, Y+27
Input B: X+47, Y+75
Output: X=6890, Y=6834

Input A: X+14, Y+67
Input B: X+97, Y+38
Output: X=2307, Y=3795

Input A: X+34, Y+75
Input B: X+69, Y+19
Output: X=7833, Y=6489

Input A: X+16, Y+44
Input B: X+88, Y+35
Output: X=8280, Y=5589

Input A: X+77, Y+45
Input B: X+18, Y+64
Output: X=5887, Y=6061

Input A: X+17, Y+63
Input B: X+48, Y+11
Output: X=15217, Y=13649

Input A: X+26, Y+81
Input B: X+66, Y+14
Output: X=6356, Y=4990

Input A: X+16, Y+58
Input B: X+71, Y+19
Output: X=6828, Y=4728

Input A: X+14, Y+49
Input B: X+75, Y+20
Output: X=11655, Y=9305

Input A: X+41, Y+14
Input B: X+12, Y+59
Output: X=2130, Y=16548

Input A: X+38, Y+56
Input B: X+34, Y+12
Output: X=810, Y=16024

Input A: X+87, Y+79
Input B: X+11, Y+87
Output: X=9691, Y=16347

Input A: X+73, Y+44
Input B: X+21, Y+47
Output: X=3829, Y=2720

Input A: X+71, Y+18
Input B: X+68, Y+67
Output: X=12998, Y=7923

Input A: X+13, Y+54
Input B: X+66, Y+14
Output: X=9606, Y=2602

Input A: X+15, Y+86
Input B: X+91, Y+53
Output: X=1744, Y=8124

Input A: X+22, Y+64
Input B: X+65, Y+28
Output: X=6224, Y=16744

Input A: X+61, Y+45
Input B: X+21, Y+98
Output: X=4214, Y=11277

Input A: X+28, Y+57
Input B: X+52, Y+31
Output: X=584, Y=7698

Input A: X+11, Y+40
Input B: X+82, Y+16
Output: X=4565, Y=4184

Input A: X+14, Y+64
Input B: X+26, Y+28
Output: X=2332, Y=2756

Input A: X+19, Y+61
Input B: X+34, Y+26
Output: X=704, Y=1096

Input A: X+50, Y+23
Input B: X+21, Y+49
Output: X=16626, Y=17288

Input A: X+60, Y+13
Input B: X+22, Y+60
Output: X=19160, Y=8499

Input A: X+53, Y+25
Input B: X+26, Y+52
Output: X=5752, Y=9516

Input A: X+94, Y+28
Input B: X+34, Y+49
Output: X=8400, Y=4368

Input A: X+36, Y+25
Input B: X+20, Y+59
Output: X=3640, Y=3836

Input A: X+72, Y+46
Input B: X+21, Y+42
Output: X=13244, Y=14486

Input A: X+16, Y+48
Input B: X+62, Y+12
Output: X=9594, Y=5924

Input A: X+11, Y+92
Input B: X+73, Y+32
Output: X=3404, Y=5328

Input A: X+17, Y+49
Input B: X+50, Y+21
Output: X=5056, Y=2877

Input A: X+53, Y+11
Input B: X+11, Y+69
Output: X=13648, Y=14976

Input A: X+61, Y+38
Input B: X+12, Y+33
Output: X=4094, Y=3214

Input A: X+20, Y+76
Input B: X+49, Y+12
Output: X=3667, Y=6444

Input A: X+12, Y+52
Input B: X+62, Y+28
Output: X=1132, Y=6988

Input A: X+35, Y+15
Input B: X+32, Y+50
Output: X=8002, Y=9430

Input A: X+11, Y+74
Input B: X+79, Y+50
Output: X=2429, Y=6230

Input A: X+28, Y+54
Input B: X+46, Y+28
Output: X=9642, Y=9706

Input A: X+30, Y+46
Input B: X+28, Y+12
Output: X=11486, Y=4046

Input A: X+93, Y+51
Input B: X+11, Y+36
Output: X=5827, Y=3615

Input A: X+20, Y+40
Input B: X+56, Y+36
Output: X=2696, Y=3036

Input A: X+13, Y+56
Input B: X+77, Y+22
Output: X=11704, Y=14328

Input A: X+51, Y+14
Input B: X+30, Y+68
Output: X=4463, Y=17990

Input A: X+12, Y+90
Input B: X+45, Y+16
Output: X=1836, Y=3482

Input A: X+82, Y+16
Input B: X+11, Y+70
Output: X=8687, Y=14862

Input A: X+46, Y+24
Input B: X+42, Y+80
Output: X=2984, Y=4984

Input A: X+14, Y+31
Input B: X+42, Y+27
Output: X=12688, Y=11310

Input A: X+72, Y+19
Input B: X+59, Y+94
Output: X=2718, Y=2129

Input A: X+13, Y+67
Input B: X+71, Y+19
Output: X=15897, Y=11843

Input A: X+91, Y+41
Input B: X+47, Y+75
Output: X=6855, Y=4165

