city_name,year,city_pop,robbery,police
anaheim,71,175004.0,223.0,292.0
anaheim,72,183600.0,249.0,316.0
anaheim,73,184000.0,438.0,346.0
anaheim,74,187400.0,462.0,377.0
anaheim,75,192454.0,537.0,373.0
anaheim,76,196400.0,502.0,384.0
anaheim,77,200484.0,596.0,399.0
anaheim,78,204772.0,553.0,402.0
anaheim,79,209970.0,613.0,390.0
anaheim,80,218468.0,622.0,370.0
anaheim,81,224282.0,576.0,426.0
anaheim,82,229528.0,582.0,443.0
anaheim,83,233705.0,439.0,439.0
anaheim,84,235610.0,631.0,430.0
anaheim,85,240283.0,601.0,441.0
anaheim,86,245897.0,695.0,460.0
anaheim,87,246815.0,659.0,457.0
anaheim,88,251045.0,620.0,464.0
anaheim,89,251146.0,755.0,462.0
anaheim,90,266406.0,975.0,493.0
anaheim,91,271955.0,983.0,524.0
anaheim,92,276314.0,891.0,529.0
anaheim,93,,,
fresno,71,168744.0,386.0,355.0
fresno,72,172772.0,425.0,360.0
fresno,73,176800.0,596.0,393.0
fresno,74,176800.0,616.0,376.0
fresno,75,176500.0,567.0,398.0
fresno,76,177900.0,723.0,385.0
fresno,77,182629.0,958.0,449.0
fresno,78,194774.0,1102.0,420.0
fresno,79,194849.0,1009.0,455.0
fresno,80,215396.0,1232.0,468.0
fresno,81,221129.0,1102.0,485.0
fresno,82,226300.0,1212.0,513.0
fresno,83,230418.0,984.0,499.0
fresno,84,254649.0,1066.0,526.0
fresno,85,275125.0,1233.0,522.0
fresno,86,281554.0,1316.0,571.0
fresno,87,291855.0,1096.0,585.0
fresno,88,294695.0,1393.0,597.0
fresno,89,315218.0,1525.0,641.0
fresno,90,354202.0,1592.0,648.0
fresno,91,361580.0,2182.0,644.0
fresno,92,367376.0,3094.0,645.0
fresno,93,,,
losangel,71,2790333.0,14147.0,9432.0
losangel,72,2836400.0,14241.0,9458.0
losangel,73,2840000.0,13706.0,9675.0
losangel,74,2849644.0,13614.0,10137.0
losangel,75,2729878.0,14590.0,10554.0
losangel,76,2739100.0,14225.0,10057.0
losangel,77,2785393.0,15246.0,10018.0
losangel,78,2787525.0,17105.0,9649.0
losangel,79,2863412.0,20454.0,8998.0
losangel,80,2952511.0,25637.0,9149.0
losangel,81,3031090.0,28152.0,9501.0
losangel,82,3101979.0,30029.0,9302.0
losangel,83,3158688.0,29243.0,9457.0
losangel,84,3144256.0,27323.0,9364.0
losangel,85,3186459.0,27938.0,9635.0
losangel,86,3260856.0,29930.0,9358.0
losangel,87,3341726.0,26192.0,9475.0
losangel,88,3402342.0,26182.0,10023.0
losangel,89,3441449.0,31063.0,10478.0
losangel,90,3485398.0,36098.0,11190.0
losangel,91,3558316.0,39778.0,10864.0
losangel,92,3615355.0,39508.0,10392.0
losangel,93,,,
