household_head,children,married,hh_income
Female,0,Yes,52891.29
Male,0,Yes,51811.87
Female,0,Yes,1217.04
Female,0,Yes,65173.67
Male,0,Yes,36937.55
Female,0,Yes,14033.73
Male,0,Yes,29685.24
Female,0,Yes,54401.12
Male,2,Yes,55319.97
Male,0,Yes,4050.5
Male,0,Yes,83831.34
Female,0,Yes,18109.87
Male,1,Yes,18943.72
Female,2,Yes,36835.0
Female,1,Yes,54921.94
Male,1,Yes,52621.43
Male,2,Yes,33731.69
Female,2,Yes,67476.87
Female,0,Yes,68812.64
Female,0,Yes,64764.84
Male,2,Yes,14570.74
Male,3,Yes,1349.27
Male,1,Yes,74266.38
Female,1,Yes,67520.05
Male,2,Yes,22264.26
Male,0,Yes,103904.39
Female,0,Yes,102555.13
Male,0,Yes,2428.68
Male,0,Yes,21995.76
Female,1,Yes,55042.02
Male,0,No,71374.9
Male,1,Yes,92517.93
Female,1,Yes,99534.12
Female,1,Yes,59003.47
Male,0,Yes,13087.9
Male,0,Yes,11332.5
Female,2,Yes,107860.45
Male,2,Yes,52540.48
Male,0,Yes,67463.38
Female,0,Yes,70164.61
Male,0,Yes,60723.79
Female,0,Yes,123464.73
Female,0,Yes,90963.57
Male,0,Yes,155953.74
Male,1,Yes,47224.36
Female,1,Yes,45875.1
Male,1,No,6746.34
Female,0,Yes,174055.51
Male,2,Yes,52756.36
Female,1,Yes,27525.06
Male,0,Yes,27828.64
Male,0,Yes,102547.03
Female,0,No,87702.39
Male,0,No,82308.02
Female,0,Yes,259734.0
Male,1,Yes,62883.96
Male,0,Yes,49990.36
Female,0,Yes,77178.1
Male,0,Yes,28936.39
Male,0,Yes,51671.55
Male,0,Yes,88165.19
Male,0,Yes,53296.07
Female,2,Yes,66923.67
Male,2,Yes,60784.5
Male,1,Yes,56770.43
Female,1,Yes,76334.81
Male,0,No,114215.5
Male,2,Yes,40511.76
Female,0,Yes,40478.03
Male,0,Yes,67463.38
Female,0,Yes,40478.03
Male,0,Yes,93318.04
Female,0,Yes,48573.63
Female,0,Yes,47224.36
Male,0,Yes,40478.03
Male,0,Yes,18652.27
Female,1,Yes,276614.69
Male,1,Yes,170695.84
Female,0,No,324122.4
Female,0,Yes,35315.73
Female,2,Yes,205706.63
Male,2,Yes,97894.76
Female,2,Yes,122178.87
Male,1,Yes,102641.48
Female,1,Yes,109433.69
Male,0,Yes,90400.93
Female,0,Yes,103893.6
Female,2,Yes,121660.76
Male,2,Yes,91976.87
Male,2,Yes,83135.12
Female,2,Yes,122524.29
Female,0,Yes,33124.52
Male,0,Yes,98496.53
Female,1,Yes,61148.8
Female,2,Yes,49126.83
Male,2,Yes,38602.54
Female,2,Yes,161435.81
Female,1,Yes,54084.04
Male,1,Yes,135036.04
Male,1,Yes,73819.78
Female,0,Yes,148426.18
Male,3,Yes,48624.9
Female,3,Yes,85068.62
Male,2,Yes,25502.51
Female,0,No,43176.56
Female,0,No,48573.63
Female,1,Yes,60239.4
Female,1,Yes,86521.78
Female,1,Yes,22891.67
Female,0,Yes,16192.56
Male,0,Yes,44525.83
Male,0,Yes,25111.22
Male,2,Yes,32672.51
Female,2,Yes,127256.17
Male,1,Yes,49044.53
Male,0,No,133021.59
Male,0,Yes,12279.68
Female,0,Yes,27167.5
Female,0,Yes,56244.22
Male,4,Yes,86411.14
Female,2,Yes,68138.01
Male,0,Yes,40521.2
Female,0,Yes,40478.03
Male,0,Yes,108076.33
Female,0,Yes,123727.83
Male,0,Yes,21109.29
Female,0,Yes,109293.37
Male,0,No,45170.78
Female,2,Yes,72162.88
Male,0,Yes,13492.68
Female,0,Yes,134928.1
Female,0,Yes,12885.51
Female,1,Yes,386524.67
Male,0,No,468114.88
Male,0,Yes,67463.38
Male,1,Yes,80281.42
Female,1,Yes,114013.11
Male,2,Yes,53970.7
Male,0,Yes,19245.95
Male,0,Yes,29683.89
Female,0,Yes,131688.51
Female,0,Yes,83229.57
Female,0,Yes,111989.21
Male,1,Yes,56129.53
Female,1,Yes,53970.7
Female,1,Yes,18377.02
Male,2,Yes,96911.14
Female,2,Yes,172470.12
Male,0,Yes,48573.63
Female,0,Yes,55322.67
Male,0,Yes,72860.45
Male,1,Yes,67895.14
Male,0,No,82645.34
Male,1,Yes,7665.19
Male,0,Yes,99171.16
Female,0,Yes,114824.02
Male,3,Yes,79659.41
Female,3,Yes,151167.89
Female,2,Yes,120084.81
Male,2,Yes,53970.7
Female,2,Yes,124615.65
Male,0,Yes,67463.38
Female,2,Yes,67530.84
Male,2,Yes,40492.87
Male,0,Yes,51357.17
Female,0,Yes,54055.71
Female,0,Yes,45939.86
Female,2,Yes,63634.16
Male,2,Yes,69031.23
Male,0,Yes,15805.32
Male,1,Yes,24555.32
Female,1,No,62749.04
Female,1,Yes,32517.35
Female,0,No,44660.76
Female,0,Yes,89051.66
Male,0,Yes,30427.33
Male,0,Yes,11335.2
Female,0,Yes,41433.31
Male,0,Yes,60360.83
Female,0,Yes,63167.31
Female,0,Yes,44222.24
Male,0,Yes,23477.26
Male,0,No,38532.38
Female,0,Yes,41827.29
Female,3,Yes,40478.03
Male,3,Yes,25636.08
Female,1,No,12629.14
Male,1,Yes,67463.38
Female,1,Yes,107941.4
Female,0,Yes,177563.61
Male,1,Yes,53970.7
Male,2,Yes,16191.21
Female,0,Yes,67497.11
Male,0,Yes,56028.33
Female,4,No,37779.49
Female,0,Yes,67576.72
Male,0,Yes,121524.48
Male,2,Yes,109331.15
Female,2,Yes,75734.39
Male,0,Yes,40612.95
Female,0,Yes,59369.12
Female,0,Yes,101323.25
Male,0,Yes,113466.65
Male,0,Yes,5397.07
Male,5,Yes,2563.61
Male,0,Yes,29683.89
Female,0,Yes,60756.17
Male,2,Yes,55572.28
Female,2,Yes,39920.78
Male,0,Yes,67463.38
Male,3,Yes,2698.54
Male,0,Yes,47921.94
Female,0,Yes,107608.13
Female,0,Yes,23072.47
Female,1,Yes,121662.1
Male,1,Yes,69108.13
Female,0,Yes,32542.98
Male,0,Yes,5446.99
Female,0,Yes,1349.27
Male,2,Yes,6746.34
Female,0,No,72980.53
Male,3,Yes,28302.24
Male,1,Yes,67352.74
Female,1,Yes,133563.99
Male,1,Yes,16865.84
Female,1,Yes,80969.55
Male,1,Yes,55333.46
Male,2,Yes,44936.01
Female,0,Yes,49922.9
Male,3,Yes,53970.7
Male,2,Yes,61285.08
Female,2,Yes,88949.11
Male,3,Yes,60309.56
Female,3,Yes,236680.42
Male,2,Yes,38869.7
Female,2,Yes,129270.62
Male,2,Yes,97147.26
Female,2,Yes,117386.28
Male,2,Yes,56669.24
Female,2,Yes,70161.91
Male,2,Yes,17108.71
Female,2,Yes,237357.75
Female,1,Yes,179452.58
Male,1,Yes,134926.75
Male,3,Yes,17605.24
Female,0,Yes,39939.67
Male,2,Yes,148419.43
Female,2,Yes,174055.51
Male,1,Yes,288744.6
Female,1,Yes,205764.65
Male,2,Yes,173768.12
Female,2,Yes,37604.09
Female,1,Yes,74251.54
Male,1,Yes,45916.92
Female,0,Yes,26985.35
Female,1,Yes,139032.58
Male,0,No,92721.67
Male,2,Yes,33731.69
Female,2,Yes,33731.69
Male,0,No,47305.32
Male,1,Yes,13290.29
Female,1,Yes,36902.47
Male,0,Yes,39923.48
Female,0,Yes,90581.73
Female,1,No,13303.78
Male,0,Yes,54645.34
Female,0,Yes,42097.15
Male,2,Yes,33731.69
Female,0,Yes,60717.04
Male,4,Yes,33745.18
Male,2,Yes,199016.96
Female,4,No,34477.83
Male,0,No,175470.89
Male,2,Yes,49255.01
Female,2,Yes,107280.26
Male,3,Yes,172984.19
Male,1,Yes,11147.65
Male,1,Yes,96366.04
Female,1,Yes,103218.97
Male,2,Yes,35287.39
Female,2,Yes,60719.74
Male,2,Yes,96486.12
Male,0,Yes,73041.25
Female,0,Yes,95169.24
Female,2,Yes,62070.35
Male,2,Yes,128184.46
Female,1,Yes,78257.52
Male,1,Yes,81630.69
Female,1,No,78932.15
Male,1,Yes,107233.04
Female,0,No,132512.91
Female,0,Yes,134493.64
Male,0,Yes,48363.15
Male,4,Yes,10794.14
Male,0,Yes,13758.48
Male,0,Yes,16191.21
Female,0,Yes,13762.53
Female,0,Yes,60717.04
Male,0,Yes,123188.13
Male,2,Yes,47228.41
Female,2,Yes,112812.26
Female,3,No,1888.97
Male,2,Yes,42960.68
Male,0,Yes,49304.93
Female,0,Yes,52722.63
Male,0,Yes,62681.57
Female,0,Yes,43400.54
Male,4,Yes,49113.34
Male,0,Yes,40612.95
Female,0,Yes,72995.37
Male,1,Yes,22937.55
Female,1,Yes,163936.01
Female,3,Yes,75558.98
Male,3,Yes,41827.29
Male,0,Yes,35649.0
Female,0,Yes,47792.41
Male,0,No,90307.83
Female,2,Yes,90077.1
Female,0,Yes,40478.03
Male,0,Yes,19430.8
Female,0,No,16351.77
Male,0,Yes,45875.1
Female,0,Yes,32522.74
Female,0,Yes,33731.69
Male,0,Yes,23311.3
Female,0,Yes,49248.27
Female,0,Yes,50597.53
Male,0,Yes,85503.08
Male,0,Yes,33734.39
Female,0,Yes,43176.56
Female,0,Yes,72861.8
Male,2,Yes,53735.93
Female,2,Yes,47224.36
Female,0,Yes,2287.01
Female,3,Yes,66850.81
Male,3,Yes,80281.42
Female,0,Yes,71343.87
Male,0,Yes,42935.04
Female,1,Yes,33731.69
Male,0,Yes,38116.81
Female,0,Yes,93436.78
Male,1,Yes,37779.49
Male,0,No,74209.71
Female,0,No,55141.87
Male,1,Yes,14617.96
Male,0,Yes,31046.65
Female,0,Yes,22018.7
Male,0,Yes,45822.47
Female,0,No,53970.7
Female,2,Yes,133172.71
Male,0,No,190921.36
Female,2,Yes,31142.44
Male,0,Yes,41543.95
Male,0,Yes,15651.5
Male,1,Yes,40058.4
Female,1,Yes,44038.74
Female,2,Yes,47231.11
Male,2,Yes,51278.91
Male,3,Yes,67598.3
Male,2,Yes,66114.11
Female,2,Yes,40478.03
Male,1,Yes,270528.14
Female,1,Yes,202796.26
Female,0,Yes,114431.38
Male,0,Yes,303660.76
Female,1,Yes,43176.56
Male,1,Yes,43176.56
Male,1,Yes,11301.46
Male,1,Yes,33738.43
Male,3,Yes,101195.07
Female,3,Yes,78571.9
Female,2,Yes,95907.29
Male,2,Yes,53970.7
Male,1,Yes,13829.99
Male,1,Yes,60717.04
Female,1,Yes,33733.04
Female,0,Yes,25042.41
Female,0,Yes,83790.86
Male,0,Yes,47360.64
Male,0,Yes,36835.0
Female,0,Yes,97417.12
Female,1,Yes,135756.55
Male,1,Yes,68293.18
Male,2,Yes,46927.53
Female,2,Yes,86973.79
Male,2,Yes,30824.02
Male,0,Yes,4274.48
Male,0,Yes,140323.82
Female,0,Yes,229780.26
Female,0,Yes,87718.58
Male,0,Yes,57154.97
Female,4,Yes,271309.37
Male,0,No,348111.03
Male,0,No,363059.56
Female,1,Yes,32587.51
Male,1,Yes,21588.28
Female,0,Yes,27723.4
Male,0,Yes,20352.35
Male,2,Yes,145720.89
Male,0,Yes,95123.36
Female,0,Yes,91885.12
Female,0,Yes,101892.64
Male,0,Yes,104591.17
Male,1,Yes,8629.92
Male,2,Yes,116256.94
Female,2,Yes,136495.95
Male,0,No,227494.6
Female,2,Yes,223283.54
Male,2,Yes,136930.42
Male,0,No,47241.9
Female,1,Yes,130367.58
Female,0,Yes,107948.15
Male,0,Yes,128180.42
Female,0,Yes,145720.89
Male,1,Yes,44282.96
Male,4,Yes,87713.18
Female,4,Yes,67466.08
Female,0,Yes,156649.96
Male,0,Yes,419757.13
Male,2,Yes,1458.56
Female,4,No,44579.8
Male,0,No,53970.7
Female,0,Yes,78257.52
Male,0,Yes,27120.28
Female,0,Yes,81090.98
Female,0,Yes,22132.04
Male,0,Yes,36430.22
Female,0,Yes,42542.41
Male,0,Yes,137381.07
Female,0,Yes,175160.56
Male,1,Yes,103893.6
Female,1,Yes,70161.91
Female,2,Yes,350841.94
Male,2,Yes,241551.27
Female,0,Yes,416149.19
Male,0,Yes,359767.35
Male,2,Yes,63550.5
Female,2,Yes,218244.02
Male,2,Yes,245229.38
Female,2,Yes,45620.08
Male,0,No,8098.3
Male,3,Yes,69487.28
Female,3,Yes,60042.41
Male,4,Yes,5254.05
Male,1,Yes,53970.7
Male,1,Yes,207433.69
Female,1,Yes,195019.08
Female,0,No,132599.27
Female,1,Yes,104044.72
Female,1,Yes,64797.22
Female,1,Yes,63415.57
Female,0,Yes,62071.7
Male,0,Yes,101375.87
Male,1,Yes,105045.88
Male,1,Yes,45180.22
Female,1,Yes,68117.77
Female,0,Yes,86376.06
Male,0,Yes,86376.06
Female,3,No,100191.21
Female,0,No,105213.18
Male,0,No,99600.23
Male,3,No,29683.89
Male,0,No,63415.57
Male,2,Yes,14707.02
Male,0,No,48573.63
Female,2,Yes,107941.4
Male,2,Yes,26432.15
Female,2,Yes,78718.97
Male,2,Yes,128641.87
Male,2,Yes,89645.34
Female,2,Yes,66134.35
Male,0,No,60717.04
Female,2,Yes,40478.03
Male,2,Yes,20239.01
Male,0,No,60717.04
Male,0,No,87702.39
Female,0,No,19429.45
Male,1,Yes,80145.14
Male,3,Yes,37779.49
Male,2,Yes,32433.69
Female,0,Yes,230724.75
Male,0,Yes,217232.07
Male,0,Yes,26989.4
Male,0,Yes,1137.43
Male,0,Yes,8905.17
Female,0,Yes,53430.99
Male,0,Yes,25636.08
Male,1,Yes,16191.21
Male,0,Yes,33731.69
Female,0,Yes,53970.7
Female,2,Yes,87444.68
Female,0,No,133333.27
Male,1,No,20239.01
Female,0,No,87702.39
Male,2,Yes,13492.68
Female,2,Yes,67470.12
Male,2,Yes,33733.04
Female,3,Yes,53970.7
Female,0,Yes,126864.88
Male,0,Yes,52648.42
Male,2,Yes,47688.51
Female,2,Yes,101227.45
Male,1,Yes,54787.01
