county,year,crmrte,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle,d82,d83,d84,d85,d86,d87
1,81,0.039885,0.289696,0.402062,0.472222,5.61,0.001787,2.307159,25.69763,0,1,0,20.2187,206.480301,333.62088,182.333008,272.449188,215.73349,229.119995,409.369995,236.240005,231.470001,0.099918,0.087697,0,0,0,0,0,0
1,82,0.038345,0.338111,0.433005,0.506993,5.59,0.001767,2.330254,24.874252,0,1,0,20.2187,212.754196,369.296417,189.541412,300.878754,231.576706,240.330002,419.700012,253.880005,236.789993,0.103049,0.086377,1,0,0,0,0,0
1,83,0.030305,0.330449,0.525703,0.479705,5.8,0.001836,2.341801,26.451443,0,1,0,20.2187,219.780212,1394.803467,196.639465,309.969635,240.156845,269.700012,438.850006,250.360001,248.580002,0.080679,0.085091,0,1,0,0,0,0
1,84,0.034726,0.362525,0.604706,0.520104,6.89,0.001886,2.34642,26.842348,0,1,0,20.2187,223.423798,398.860413,200.562912,350.086334,252.447678,281.73999,459.170013,261.929993,264.380005,0.078504,0.083833,0,0,1,0,0,0
1,85,0.036573,0.325395,0.578723,0.497059,6.55,0.001924,2.364896,28.140337,0,1,0,20.2187,243.756241,358.78302,206.882736,383.07074,261.086121,298.880005,490.429993,281.440002,288.579987,0.093249,0.082306,0,0,0,1,0,0
1,86,0.034752,0.326062,0.512324,0.439863,6.9,0.001895,2.385681,29.74098,0,1,0,20.2187,257.91394,369.546509,218.516525,409.884247,269.612854,322.649994,478.670013,286.910004,306.700012,0.097323,0.080081,0,0,0,0,1,0
1,87,0.035604,0.29827,0.527596,0.43617,6.71,0.001828,2.422633,30.993681,0,1,0,20.2187,281.425903,408.724487,221.270065,453.172211,274.17746,334.540009,477.579987,292.089996,311.910004,0.080169,0.077871,0,0,0,0,0,1
3,81,0.016392,0.202899,0.869048,0.465753,8.45,0.000594,0.976834,14.560878,0,1,0,7.91632,188.76828,292.642151,151.423386,202.429153,191.374161,210.75,381.720001,247.380005,213.169998,0.056122,0.087005,0,0,0,0,0,0
3,82,0.019065,0.162218,0.772152,0.377049,5.71,0.000705,0.992278,35.640728,0,1,0,7.91632,186.965805,345.72168,156.882584,225.040924,208.818954,217.770004,386.420013,374.070007,219.179993,0.047312,0.086472,1,0,0,0,0,0
3,83,0.015149,0.181586,1.02817,0.438356,8.69,0.000659,1.003861,19.261877,0,1,0,7.91632,193.598343,604.911499,157.129456,248.138962,219.084717,236.639999,382.649994,268.899994,223.059998,0.059621,0.085943,0,1,0,0,0,0
3,84,0.013662,0.194986,0.885714,0.5,8.01,0.000609,1.015444,21.395571,0,1,0,7.91632,219.084717,340.659332,162.266464,263.647644,228.592163,255.220001,376.529999,288.049988,242.050003,0.058997,0.085499,0,0,1,0,0,0
3,85,0.012035,0.206897,0.909091,0.366667,8.59,0.000641,1.030888,24.036367,0,1,0,7.91632,2324.598389,338.723785,173.16806,250.156342,257.654968,262.059998,411.230011,312.799988,262.839996,0.085034,0.084861,0,0,0,1,0,0
