id,status(4/2020),status(5/2020),status(6/2020)
10019,U,E,E
10020,U,U,E
10025,U,U,U
10065,U,U,E
10083,U,E,E
10084,U,U,E
10091,U,E,E
10112,U,E,U
10123,U,E,E
10126,U,E,E
10128,U,E,E
10176,U,U,E
10181,U,U,U
10211,U,E,E
10216,U,U,E
10230,U,E,U
10239,U,E,E
10256,U,E,E
10270,U,E,E
10284,U,U,E
10290,U,E,E
10296,U,E,U
10312,U,U,E
10342,U,U,U
10351,U,U,E
10352,U,E,E
10373,U,U,E
10391,U,U,E
10400,U,U,U
10402,U,E,E
10427,U,U,U
10428,U,U,E
10430,U,E,E
10437,U,U,E
10447,U,U,E
10448,U,U,E
10457,U,U,E
10474,U,E,E
10481,U,U,U
10486,U,U,E
10491,U,E,E
10537,U,E,E
10545,U,E,E
10551,U,U,E
10552,U,U,E
10558,U,E,E
10571,U,E,E
10584,U,U,E
10585,U,E,E
10587,U,E,E
10591,U,E,E
10595,U,E,E
10597,U,U,E
10601,U,U,E
10608,U,E,E
10609,U,E,U
10611,U,E,E
10652,U,E,E
10660,U,U,E
10680,U,U,E
10716,U,E,E
10724,U,E,E
10728,U,U,U
10736,U,U,E
10738,U,U,E
10746,U,E,E
10750,U,U,E
10766,U,E,E
10774,U,E,E
10785,U,E,E
10807,U,U,U
10809,U,U,E
10831,U,E,E
10842,U,E,E
10850,U,U,E
10858,U,E,U
10864,U,E,E
10868,U,E,E
10876,U,E,U
10877,U,U,E
10894,U,E,U
10896,U,E,E
10908,U,E,E
10910,U,U,U
10917,U,E,E
10929,U,U,E
10940,U,U,E
10946,U,U,E
10951,U,E,E
10953,U,E,E
10954,U,U,U
10958,U,E,E
10961,U,U,U
10966,U,E,E
10974,U,U,U
10976,U,U,E
10979,U,U,U
10990,U,U,E
10994,U,E,E
10999,U,E,E
11007,U,U,E
11014,U,U,E
11025,U,U,E
11027,U,E,E
11030,U,U,E
11031,U,E,E
11034,U,U,U
11039,U,E,E
11047,U,E,E
11065,U,U,E
11066,U,E,E
11079,U,E,E
11084,U,E,E
11099,U,U,U
11100,U,U,E
11113,U,E,U
11115,U,U,E
11123,U,E,E
11132,U,E,E
11137,U,E,E
11148,U,E,E
11155,U,E,E
11177,U,E,E
11179,U,E,E
11184,U,E,E
11186,U,E,U
11196,U,U,U
11200,U,U,U
11213,U,E,U
11214,U,E,E
11241,U,U,E
11248,U,U,E
11249,U,E,E
11262,U,U,U
11280,U,U,E
11281,U,U,E
11295,U,E,E
11317,U,E,E
11340,U,U,U
11350,U,U,E
11356,U,U,E
11359,U,E,E
11363,U,E,E
11367,U,E,E
11373,U,U,U
11381,U,U,E
11392,U,E,E
11404,U,E,E
11407,U,E,E
11425,U,E,E
11463,U,E,E
11486,U,U,E
11488,U,E,E
11490,U,E,E
11492,U,E,E
11497,U,U,U
11499,U,E,E
11501,U,E,E
11505,U,U,E
11514,U,E,E
11519,U,U,E
11522,U,U,E
11529,U,E,E
11536,U,E,E
11545,U,E,E
11551,U,E,E
11573,U,E,E
11578,U,E,E
11591,U,U,E
11605,U,U,U
11616,U,U,E
11617,U,U,E
11631,U,U,U
11641,U,E,E
11644,U,E,E
11645,U,U,U
11660,U,U,U
11667,U,U,E
11682,U,E,E
11695,U,E,E
11699,U,E,E
11707,U,U,E
11714,U,E,E
11717,U,E,E
11726,U,U,E
11731,U,U,E
11736,U,E,E
11740,U,E,E
11745,U,E,E
11782,U,U,U
