age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
72.0,0,0,1,yes,no,,bachelor,business administration,someone else,0,very happy,exciting
55.0,1,0,1,yes,yes,1452.0,graduate,business administration,someone else,0,very happy,routine
23.0,1,0,0,no,yes,11798.0,high school,,someone else,0,very happy,routine
71.0,0,0,1,yes,yes,,junior college,law,someone else,0,pretty happy,exciting
33.0,1,1,0,yes,,,high school,,someone else,1,,
60.0,1,1,0,yes,yes,,high school,,someone else,0,very happy,routine
33.0,1,0,1,yes,yes,19965.0,high school,,someone else,0,pretty happy,exciting
56.0,0,0,1,no,no,15428.0,high school,,someone else,0,very happy,exciting
31.0,0,1,0,yes,,27225.0,graduate,education,someone else,0,pretty happy,
32.0,1,1,0,yes,,,lt high school,,someone else,0,pretty happy,exciting
23.0,1,0,0,no,,3267.0,lt high school,,someone else,0,very happy,
37.0,1,0,1,yes,no,39930.0,high school,,someone else,0,very happy,exciting
25.0,1,0,1,no,no,13612.0,junior college,visual arts/graphic design/design and drafting,someone else,0,pretty happy,exciting
76.0,1,0,1,no,,,lt high school,,someone else,0,not too happy,
22.0,0,1,0,yes,,,high school,,someone else,0,not too happy,
75.0,1,0,1,yes,yes,,high school,,someone else,1,not too happy,exciting
68.0,1,0,1,yes,no,39930.0,high school,,someone else,0,pretty happy,exciting
46.0,0,1,0,no,no,,high school,,someone else,0,pretty happy,routine
59.0,0,0,1,yes,,13612.0,bachelor,business administration,someone else,1,not too happy,
58.0,1,0,1,yes,no,87120.0,bachelor,music,someone else,0,very happy,exciting
40.0,1,0,1,yes,yes,13612.0,high school,,someone else,0,pretty happy,routine
36.0,1,0,1,no,yes,23595.0,graduate,other,someone else,0,not too happy,exciting
70.0,0,0,1,no,,,high school,,someone else,0,very happy,
28.0,0,0,1,yes,yes,59895.0,high school,,someone else,0,very happy,routine
23.0,0,0,1,no,yes,,bachelor,physics,,1,pretty happy,exciting
47.0,1,0,1,yes,,87120.0,graduate,law,someone else,0,very happy,
20.0,0,0,1,yes,,1452.0,high school,,someone else,0,very happy,
41.0,0,0,1,yes,yes,189211.0,graduate,law,someone else,0,very happy,exciting
40.0,1,0,1,yes,,17242.0,graduate,mathmatics,someone else,0,pretty happy,
59.0,1,0,1,yes,yes,6534.0,graduate,law,someone else,1,pretty happy,exciting
26.0,0,1,0,yes,,15428.0,high school,,someone else,0,pretty happy,exciting
51.0,1,1,0,yes,no,,high school,,,1,,routine
39.0,1,1,0,yes,,15428.0,high school,,someone else,0,not too happy,
30.0,0,0,0,yes,no,19965.0,lt high school,,someone else,1,pretty happy,dull
