Country,GDPpc,IMR
Chad,408,112
Malawi,496,138
Burkina Faso,514,99
Central African Republic,514,98
Comoros,527,76
Togo,530,84
Uganda,547,107
Burundi,569,119
Madagascar,608,83
Guinea-Bissau,634,130
Mozambique,711,114
Sierra Leone,734,170
Guinea,740,124
Rwanda,762,124
Mauritania,837,92
Kenya,914,66
Lesotho,952,93
Ghana,956,66
Nigeria,978,81
Cameroon,1029,74
Cape Verde,1085,56
Côte d'Ivoire,1104,87
Zimbabwe,1162,69
India,1282,72
Honduras,1385,35
Pakistan,1432,74
China,1493,41
Bangladesh,1510,79
Papua New Guinea,1606,61
Philippines,1689,36
Bolivia,1721,66
Egypt,1869,51
El Salvador,1876,32
Peru,2092,45
Indonesia,2102,48
Morocco,2173,51
Paraguay,2178,39
Sri Lanka,2215,18
Congo,2240,90
Guatemala,2247,46
Dominican Republic,2250,34
Algeria,2719,44
Namibia,2774,65
Ecuador,2830,46
South Africa,3068,59
Tunisia,3075,30
Panama,3332,21
Colombia,3380,30
Costa Rica,3569,12
Gabon,3622,87
"Iran, Islamic Republic of",3685,35
Turkey,3807,45
Poland,3826,15
Brazil,3882,42
Thailand,3942,29
Belize,4253,29
Hungary,4645,10
Chile,4890,13
Uruguay,5185,18
Bulgaria,5208,17
Malaysia,5746,11
Mauritius,6167,16
Mexico,6253,31
Venezuela,7082,21
Cyprus,9203,9
Ireland,9637,7
Spain,9802,7
Israel,9843,8
New Zealand,11363,7
Finland,12000,6
Iceland,12618,5
Singapore,12653,5
Italy,12721,7
United Kingdom,12724,7
Austria,12955,6
Netherlands,13281,6
Belgium,13484,7
France,13918,6
Sweden,13986,5
Denmark,14091,7
Australia,14458,6
Japan,15105,4
Norway,15518,5
Switzerland,15887,6
Canada,16362,6
Luxembourg,16798,7
United States of America,17945,7
